name;slug;value;date_of_information;ranking;region
"Monaco";"monaco";"89.64";"";1;"Europe"
"Singapore";"singapore";"86.51";"";2;"East and Southeast Asia"
"Macau";"macau";"85.16";"";3;"East and Southeast Asia"
"Japan";"japan";"85";"";4;"East and Southeast Asia"
"San Marino";"san-marino";"84.05";"";5;"Europe"
"Canada";"canada";"83.99";"";6;"North America"
"Iceland";"iceland";"83.83";"";7;"Europe"
"Hong Kong";"hong-kong";"83.8";"";8;"East and Southeast Asia"
"Andorra";"andorra";"83.61";"";9;"Europe"
"Israel";"israel";"83.54";"";10;"Middle East"
"Switzerland";"switzerland";"83.42";"";11;"Europe"
"Guernsey";"guernsey";"83.42";"";12;"Europe"
"Malta";"malta";"83.39";"";13;"Europe"
"Australia";"australia";"83.28";"";14;"Australia and Oceania"
"Luxembourg";"luxembourg";"83.17";"";15;"Europe"
"Korea, South";"korea-south";"83.17";"";16;"East and Southeast Asia"
"Jersey";"jersey";"82.83";"";17;"Europe"
"Sweden";"sweden";"82.8";"";18;"Europe"
"France";"france";"82.79";"";19;"Europe"
"Italy";"italy";"82.79";"";20;"Europe"
"Spain";"spain";"82.78";"";21;"Europe"
"Liechtenstein";"liechtenstein";"82.76";"";22;"Europe"
"Norway";"norway";"82.75";"";23;"Europe"
"New Zealand";"new-zealand";"82.74";"";24;"Australia and Oceania"
"Austria";"austria";"82.48";"";25;"Europe"
"Anguilla";"anguilla";"82.41";"";26;"Central America and the Caribbean"
"Netherlands";"netherlands";"82.36";"";27;"Europe"
"Cayman Islands";"cayman-islands";"82.25";"";28;"Central America and the Caribbean"
"Isle of Man";"isle-of-man";"82.25";"";29;"Europe"
"Bermuda";"bermuda";"82.25";"";30;"North America"
"Belgium";"belgium";"82.06";"";31;"Europe"
"United Kingdom";"united-kingdom";"82.05";"";32;"Europe"
"Slovenia";"slovenia";"82.02";"";33;"Europe"
"Finland";"finland";"81.96";"";34;"Europe"
"Puerto Rico";"puerto-rico";"81.89";"";35;"Central America and the Caribbean"
"Ireland";"ireland";"81.87";"";36;"Europe"
"Denmark";"denmark";"81.87";"";37;"Europe"
"Germany";"germany";"81.72";"";38;"Europe"
"Portugal";"portugal";"81.71";"";39;"Europe"
"Greece";"greece";"81.71";"";40;"Europe"
"Saint Pierre and Miquelon";"saint-pierre-and-miquelon";"81.62";"";41;"North America"
"Faroe Islands";"faroe-islands";"81.47";"";42;"Europe"
"Taiwan";"taiwan";"81.38";"";43;"East and Southeast Asia"
"Turks and Caicos Islands";"turks-and-caicos-islands";"81.04";"";44;"Central America and the Caribbean"
"Wallis and Futuna";"wallis-and-futuna";"80.89";"";45;"Australia and Oceania"
"Saint Martin";"saint-martin";"80.8";"";46;"Central America and the Caribbean"
"Saint Barthelemy";"saint-barthelemy";"80.8";"";47;"Central America and the Caribbean"
"United States";"united-states";"80.75";"";48;"North America"
"Saint Helena, Ascension, and Tristan da Cunha";"saint-helena-ascension-and-tristan-da-cunha";"80.7";"";49;"Africa"
"Gibraltar";"gibraltar";"80.65";"";50;"Europe"
"Virgin Islands";"virgin-islands";"80.49";"";51;"Central America and the Caribbean"
"Bahrain";"bahrain";"80.13";"";52;"Middle East"
"Qatar";"qatar";"80.03";"";53;"Middle East"
"Chile";"chile";"80.02";"";54;"South America"
"Czechia";"czechia";"79.96";"";55;"Europe"
"Cyprus";"cyprus";"79.96";"";56;"Europe"
"British Virgin Islands";"british-virgin-islands";"79.9";"";57;"Central America and the Caribbean"
"Costa Rica";"costa-rica";"79.87";"";58;"Central America and the Caribbean"
"Cuba";"cuba";"79.87";"";59;"Central America and the Caribbean"
