name;slug;value;date_of_information;ranking;region
"Marshall Islands";"marshall-islands";"36";"2006";1;"Australia and Oceania"
"South Africa";"south-africa";"33.56";"2021";2;"Africa"
"Kiribati";"kiribati";"30.6";"2010";3;"Australia and Oceania"
"Kosovo";"kosovo";"30.5";"2017";4;"Europe"
"American Samoa";"american-samoa";"29.8";"2005";5;"Australia and Oceania"
"Djibouti";"djibouti";"28.39";"2021";6;"Africa"
"Eswatini";"eswatini";"25.76";"2021";7;"Africa"
"West Bank";"west-bank";"24.9";"2021";8;"Middle East"
"Gaza Strip";"gaza-strip";"24.9";"2021";9;"Middle East"
"Botswana";"botswana";"24.72";"2021";10;"Africa"
"Lesotho";"lesotho";"24.6";"2021";11;"Africa"
"Grenada";"grenada";"24";"2017";12;"Central America and the Caribbean"
"Congo, Republic of the";"congo-republic-of-the";"23.01";"2021";13;"Africa"
"Dominica";"dominica";"23";"2000";14;"Central America and the Caribbean"
"Nauru";"nauru";"23";"2011";15;"Australia and Oceania"
"Gabon";"gabon";"22.26";"2021";16;"Africa"
"Namibia";"namibia";"21.68";"2021";17;"Africa"
"Saint Vincent and the Grenadines";"saint-vincent-and-the-grenadines";"21.62";"2021";18;"Central America and the Caribbean"
"Armenia";"armenia";"20.9";"2021";19;"Middle East"
"Somalia";"somalia";"19.86";"2021";20;"Africa"
"Sudan";"sudan";"19.81";"2021";21;"Africa"
"Libya";"libya";"19.58";"2021";22;"Africa"
"Jordan";"jordan";"19.25";"2021";23;"Middle East"
"Montenegro";"montenegro";"18.49";"2021";24;"Europe"
"Costa Rica";"costa-rica";"17.95";"2021";25;"Central America and the Caribbean"
"Saint Lucia";"saint-lucia";"16.91";"2021";26;"Central America and the Caribbean"
"Tunisia";"tunisia";"16.82";"2021";27;"Africa"
"New Caledonia";"new-caledonia";"16.57";"2021";28;"Australia and Oceania"
"Guyana";"guyana";"16.42";"2021";29;"South America"
"North Macedonia";"north-macedonia";"16.2";"2021";30;"Europe"
"Micronesia, Federated States of";"micronesia-federated-states-of";"16.2";"2010";31;"Australia and Oceania"
"Sao Tome and Principe";"sao-tome-and-principe";"15.91";"2021";32;"Africa"
"Haiti";"haiti";"15.73";"2021";33;"Central America and the Caribbean"
"Cabo Verde";"cabo-verde";"15.42";"2021";34;"Africa"
"Bosnia and Herzegovina";"bosnia-and-herzegovina";"15.22";"2021";35;"Europe"
"Greece";"greece";"14.8";"2021";36;"Europe"
"Spain";"spain";"14.73";"2021";37;"Europe"
"Lebanon";"lebanon";"14.49";"2021";38;"Middle East"
"Brazil";"brazil";"14.4";"2021";39;"South America"
"French Polynesia";"french-polynesia";"14.39";"2021";40;"Australia and Oceania"
"Colombia";"colombia";"14.34";"2021";41;"South America"
"Iraq";"iraq";"14.19";"2021";42;"Middle East"
"Saint Helena, Ascension, and Tristan da Cunha";"saint-helena-ascension-and-tristan-da-cunha";"14";"1998";43;"Africa"
"South Sudan";"south-sudan";"13.91";"2021";44;"Africa"
"Yemen";"yemen";"13.57";"2021";45;"Middle East"
"Turkey (Turkiye)";"turkey-turkiye";"13.39";"2021";46;"Middle East"
"Afghanistan";"afghanistan";"13.28";"2021";47;"South Asia"
"Virgin Islands";"virgin-islands";"13.27";"2021";48;"Central America and the Caribbean"
"Bahamas, The";"bahamas-the";"13.24";"2021";49;"Central America and the Caribbean"
"Cook Islands";"cook-islands";"13.1";"2005";50;"Australia and Oceania"
"Zambia";"zambia";"13.03";"2021";51;"Africa"
"Curacao";"curacao";"13";"2013";52;"Central America and the Caribbean"
"Algeria";"algeria";"12.7";"2021";53;"Africa"
"Panama";"panama";"12.09";"2021";54;"Central America and the Caribbean"
"Sint Maarten";"sint-maarten";"12";"2012";55;"Central America and the Caribbean"
"Niue";"niue";"12";"2001";56;"Australia and Oceania"
"Albania";"albania";"11.82";"2021";57;"Europe"
"Serbia";"serbia";"11.81";"2021";58;"Europe"
"Morocco";"morocco";"11.47";"2021";59;"Africa"
"Iran";"iran";"11.46";"2021";60;"Middle East"
"Mauritania";"mauritania";"11.46";"2021";61;"Africa"
"Gambia, The";"gambia-the";"11.21";"2021";62;"Africa"
"Northern Mariana Islands";"northern-mariana-islands";"11.2";"2010";63;"Australia and Oceania"
"Antigua and Barbuda";"antigua-and-barbuda";"11";"2014";64;"Central America and the Caribbean"
"Argentina";"argentina";"10.9";"2021";65;"South America"
"Georgia";"georgia";"10.66";"2021";66;"Middle East"
"Syria";"syria";"10.57";"2021";67;"Middle East"
"Uruguay";"uruguay";"10.45";"2021";68;"South America"
"Barbados";"barbados";"10.41";"2021";69;"Central America and the Caribbean"
"Suriname";"suriname";"10.06";"2021";70;"South America"
"Turks and Caicos Islands";"turks-and-caicos-islands";"10";"1997";71;"Central America and the Caribbean"
"Samoa";"samoa";"9.84";"2021";72;"Australia and Oceania"
"Italy";"italy";"9.83";"2021";73;"Europe"
"Nigeria";"nigeria";"9.79";"2021";74;"Africa"
"Comoros";"comoros";"9.45";"2021";75;"Africa"
"Egypt";"egypt";"9.33";"2021";76;"Africa"
"Equatorial Guinea";"equatorial-guinea";"9.24";"2021";77;"Africa"
"Jamaica";"jamaica";"9.18";"2021";78;"Central America and the Caribbean"
"Chile";"chile";"9.13";"2021";79;"South America"
"Kyrgyzstan";"kyrgyzstan";"9.1";"2021";80;"Central Asia"
"Greenland";"greenland";"9.1";"2015";81;"North America"
"Ukraine";"ukraine";"8.88";"2021";82;"Europe"
"Wallis and Futuna";"wallis-and-futuna";"8.8";"2013";83;"Australia and Oceania"
"Saint Pierre and Miquelon";"saint-pierre-and-miquelon";"8.7";"2015";84;"North America"
"Croatia";"croatia";"8.68";"2021";85;"Europe"
"Sweden";"sweden";"8.66";"2021";86;"Europe"
"Angola";"angola";"8.53";"2021";87;"Africa"
"Bolivia";"bolivia";"8.51";"2021";88;"South America"
"Honduras";"honduras";"8.51";"2021";89;"Central America and the Caribbean"
"Dominican Republic";"dominican-republic";"8.5";"2021";90;"Central America and the Caribbean"
"Puerto Rico";"puerto-rico";"8.27";"2021";91;"Central America and the Caribbean"
"Belize";"belize";"8.22";"2021";92;"Central America and the Caribbean"
"San Marino";"san-marino";"8.1";"2017";93;"Europe"
"France";"france";"8.06";"2021";94;"Europe"
"Eritrea";"eritrea";"8.05";"2021";95;"Africa"
"Anguilla";"anguilla";"8";"2002";96;"Central America and the Caribbean"
"Lithuania";"lithuania";"7.9";"2021";97;"Europe"
"Tajikistan";"tajikistan";"7.75";"2021";98;"Central Asia"
"Mali";"mali";"7.72";"2021";99;"Africa"
"Aruba";"aruba";"7.7";"2016";100;"Central America and the Caribbean"
"Brunei";"brunei";"7.65";"2021";101;"East and Southeast Asia"
"Latvia";"latvia";"7.6";"2021";102;"Europe"
"Finland";"finland";"7.53";"2021";103;"Europe"
"Canada";"canada";"7.51";"2021";104;"North America"
"Mauritius";"mauritius";"7.41";"2021";105;"Africa"
"Jersey";"jersey";"7.37";"2021";106;"Europe"
"Guernsey";"guernsey";"7.37";"2021";107;"Europe"
"Saudi Arabia";"saudi-arabia";"7.36";"2021";108;"Middle East"
"Paraguay";"paraguay";"7.21";"2021";109;"South America"
"Uzbekistan";"uzbekistan";"7.16";"2021";110;"Central Asia"
"Mongolia";"mongolia";"7.08";"2021";111;"East and Southeast Asia"
"Malawi";"malawi";"7.02";"2021";112;"Africa"
"Bermuda";"bermuda";"7";"2017";113;"North America"
"Guam";"guam";"6.98";"2021";114;"Australia and Oceania"
"Guinea-Bissau";"guinea-bissau";"6.76";"2021";115;"Africa"
"Slovakia";"slovakia";"6.74";"2021";116;"Europe"
"Portugal";"portugal";"6.65";"2021";117;"Europe"
"Ireland";"ireland";"6.63";"2021";118;"Europe"
"Azerbaijan";"azerbaijan";"6.58";"2021";119;"Middle East"
"Central African Republic";"central-african-republic";"6.57";"2021";120;"Africa"
"Ecuador";"ecuador";"6.43";"2021";121;"South America"
"Belgium";"belgium";"6.42";"2021";122;"Europe"
"Venezuela";"venezuela";"6.41";"2021";123;"South America"
"Guinea";"guinea";"6.34";"2021";124;"Africa"
"Estonia";"estonia";"6.33";"2021";125;"Europe"
"Austria";"austria";"6.3";"2021";126;"Europe"
"Cyprus";"cyprus";"6.13";"2021";127;"Europe"
"Maldives";"maldives";"6.08";"2021";128;"South Asia"
"India";"india";"5.98";"2021";129;"South Asia"
"Nicaragua";"nicaragua";"5.96";"2021";130;"Central America and the Caribbean"
"El Salvador";"el-salvador";"5.94";"2021";131;"Central America and the Caribbean"
"Kenya";"kenya";"5.74";"2021";132;"Africa"
"Montserrat";"montserrat";"5.6";"2017";133;"Central America and the Caribbean"
"United States";"united-states";"5.46";"2021";134;"North America"
"Congo, Democratic Republic of the";"congo-democratic-republic-of-the";"5.43";"2021";135;"Africa"
"Bulgaria";"bulgaria";"5.42";"2021";136;"Europe"
"Iceland";"iceland";"5.4";"2021";137;"Europe"
"Sri Lanka";"sri-lanka";"5.39";"2021";138;"South Asia"
"Sierra Leone";"sierra-leone";"5.33";"2021";139;"Africa"
"Switzerland";"switzerland";"5.32";"2021";140;"Europe"
"Hong Kong";"hong-kong";"5.32";"2021";141;"East and Southeast Asia"
"Fiji";"fiji";"5.24";"2021";142;"Australia and Oceania"
"Bangladesh";"bangladesh";"5.23";"2021";143;"South Asia"
"Luxembourg";"luxembourg";"5.23";"2021";144;"Europe"
"Zimbabwe";"zimbabwe";"5.17";"2021";145;"Africa"
"Romania";"romania";"5.17";"2021";146;"Europe"
"Australia";"australia";"5.11";"2021";147;"Australia and Oceania"
"Turkmenistan";"turkmenistan";"5.08";"2021";148;"Central Asia"
"Timor-Leste";"timor-leste";"5.07";"2021";149;"East and Southeast Asia"
"Israel";"israel";"5.05";"2021";150;"Middle East"
"Nepal";"nepal";"5.05";"2021";151;"South Asia"
"Russia";"russia";"5.01";"2021";152;"Central Asia"
"Norway";"norway";"4.99";"2021";153;"Europe"
"Kazakhstan";"kazakhstan";"4.9";"2021";154;"Central Asia"
"Peru";"peru";"4.83";"2021";155;"South America"
"China";"china";"4.82";"2021";156;"East and Southeast Asia"
"Denmark";"denmark";"4.8";"2021";157;"Europe"
"Trinidad and Tobago";"trinidad-and-tobago";"4.8";"2021";158;"Central America and the Caribbean"
"Burkina Faso";"burkina-faso";"4.76";"2021";159;"Africa"
"Belarus";"belarus";"4.74";"2021";160;"Europe"
"Ghana";"ghana";"4.7";"2021";161;"Africa"
"Malaysia";"malaysia";"4.61";"2021";162;"East and Southeast Asia"
"United Kingdom";"united-kingdom";"4.53";"2021";163;"Europe"
"Saint Kitts and Nevis";"saint-kitts-and-nevis";"4.5";"1997";164;"Central America and the Caribbean"
"Slovenia";"slovenia";"4.42";"2021";165;"Europe"
"Indonesia";"indonesia";"4.41";"2021";166;"East and Southeast Asia"
"Mexico";"mexico";"4.38";"2021";167;"North America"
"Pakistan";"pakistan";"4.35";"2021";168;"South Asia"
"Bhutan";"bhutan";"4.33";"2021";169;"South Asia"
"New Zealand";"new-zealand";"4.12";"2021";170;"Australia and Oceania"
"Hungary";"hungary";"4.12";"2021";171;"Europe"
"Liberia";"liberia";"4.09";"2021";172;"Africa"
"Netherlands";"netherlands";"4.01";"2021";173;"Europe"
"Cayman Islands";"cayman-islands";"4";"2008";174;"Central America and the Caribbean"
"Togo";"togo";"4";"2021";175;"Africa"
"Mozambique";"mozambique";"3.98";"2021";176;"Africa"
"Tonga";"tonga";"3.97";"2021";177;"Australia and Oceania"
"Moldova";"moldova";"3.96";"2021";178;"Europe"
"Cameroon";"cameroon";"3.87";"2021";179;"Africa"
"Taiwan";"taiwan";"3.73";"2019";180;"East and Southeast Asia"
"Senegal";"senegal";"3.72";"2021";181;"Africa"
"Kuwait";"kuwait";"3.71";"2021";182;"Middle East"
"Andorra";"andorra";"3.7";"2016";183;"Europe"
"Ethiopia";"ethiopia";"3.69";"2021";184;"Africa"
"Singapore";"singapore";"3.62";"2021";185;"East and Southeast Asia"
"Guatemala";"guatemala";"3.57";"2021";186;"Central America and the Caribbean"
"Germany";"germany";"3.54";"2021";187;"Europe"
"Korea, South";"korea-south";"3.53";"2021";188;"East and Southeast Asia"
"Malta";"malta";"3.5";"2021";189;"Europe"
"Cote d'Ivoire";"cote-divoire";"3.47";"2021";190;"Africa"
"Poland";"poland";"3.37";"2021";191;"Europe"
"United Arab Emirates";"united-arab-emirates";"3.36";"2021";192;"Middle East"
"Oman";"oman";"3.12";"2021";193;"Middle East"
"Macau";"macau";"3.01";"2021";194;"East and Southeast Asia"
"Seychelles";"seychelles";"3";"2017";195;"Africa"
"Uganda";"uganda";"2.94";"2021";196;"Africa"
"British Virgin Islands";"british-virgin-islands";"2.9";"2015";197;"Central America and the Caribbean"
"Czechia";"czechia";"2.89";"2021";198;"Europe"
"Japan";"japan";"2.8";"2021";199;"East and Southeast Asia"
"Cuba";"cuba";"2.76";"2021";200;"Central America and the Caribbean"
"Papua New Guinea";"papua-new-guinea";"2.75";"2021";201;"East and Southeast Asia"
"Tanzania";"tanzania";"2.65";"2021";202;"Africa"
"Madagascar";"madagascar";"2.59";"2021";203;"Africa"
"Korea, North";"korea-north";"2.59";"2021";204;"East and Southeast Asia"
"Philippines";"philippines";"2.41";"2021";205;"East and Southeast Asia"
"Liechtenstein";"liechtenstein";"2.4";"2015";206;"Europe"
"Faroe Islands";"faroe-islands";"2.2";"2017";207;"Europe"
"Vanuatu";"vanuatu";"2.18";"2021";208;"Australia and Oceania"
"Burma";"burma";"2.17";"2021";209;"East and Southeast Asia"
"Vietnam";"vietnam";"2.17";"2021";210;"East and Southeast Asia"
"Isle of Man";"isle-of-man";"2";"April 2011";211;"Europe"
"Tokelau";"tokelau";"2";"2015";212;"Australia and Oceania"
"Monaco";"monaco";"2";"2012";213;"Europe"
"Chad";"chad";"1.88";"2021";214;"Africa"
"Bahrain";"bahrain";"1.87";"2021";215;"Middle East"
"Burundi";"burundi";"1.79";"2021";216;"Africa"
"Palau";"palau";"1.7";"2015";217;"Australia and Oceania"
"Rwanda";"rwanda";"1.61";"2021";218;"Africa"
