Year,Mammal Species Assessed,Bird Species Assessed,Reptile Species Assessed,Amphibian Species Assessed,Fish Species Assessed,Insect Species Assessed,Mollusc Species Assessed,Other Invertebrate Species Assessed,Plant Species Assessed,Fungus & Protist Species Assessed,Mammal Species Critically Endangered,Bird Species Critically Endangered,Reptile Species Critically Endangered,Amphibian Species Critically Endangered,Fish Species Critically Endangered,Insect Species Critically Endangered,Mollusc Species Critically Endangered,Other Invertebrate Species Critically Endangered,Plant Species Critically Endangered,Fungus & Protist Species Critically Endangered,Mammal Species  Endangered,Bird Species Endangered,Reptile Species Endangered,Amphibian Species Endangered,Fish Species Endangered,Insect Species  Endangered,Mollusc Species Endangered,Other Invertebrate Species Endangered,Plant Species Endangered,Fungus & Protist Species  Endangered,Mammal Species Vulnerable,Bird Species Vulnerable,Reptile Species Vulnerable,Amphibian Species Vulnerable,Fish Species Vulnerable,Insect Species Vulnerable,Mollusc Species Vulnerable,Other Invertebrate Species Vulnerable,Plant Species Vulnerable,Fungus & Protist Species Vulnerable
2022,5969,11162,10150,7316,24356,12161,9017,5403,61371,612,232,231,433,681,800,412,717,291,5232,36,549,423,787,1103,1215,949,599,371,9996,102,556,755,625,731,1533,930,1068,729,9221,152
2021,5968,11162,10148,7296,22581,12100,9019,5395,58343,565,229,225,433,673,739,408,717,290,4976,32,547,447,783,1085,1139,937,599,370,9400,96,557,773,623,730,1454,925,1069,727,8959,142
2020,5940,11158,8492,7212,22005,10865,8847,5267,50369,423,221,223,324,650,666,347,682,282,4337,30,539,460,584,1036,1036,690,586,347,7925,82,557,798,541,704,1338,811,1032,712,8098,127
2019,5850,11147,7829,6794,19199,8696,8749,5243,38630,295,203,225,309,588,592,311,667,270,3229,19,505,461,565,964,868,571,564,344,5727,60,536,800,535,648,1214,765,1019,710,6818,91
2018,5692,11126,7127,6722,16803,8037,8627,5222,27514,81,201,224,287,550,486,300,633,252,2879,14,482,469,515,903,674,537,546,348,4537,21,536,799,505,639,1172,700,1016,708,5883,24
2017,5674,11122,6278,6609,16409,7639,8413,5078,24230,71,202,222,266,552,468,273,625,243,2722,10,476,461,484,869,676,461,547,340,4123,18,526,786,465,679,1242,680,1015,709,5660,21
2016,5567,11121,5338,6534,16134,6587,7276,4746,22253,48,204,225,237,546,461,226,586,211,2506,8,464,448,421,852,660,408,513,312,3691,12,526,787,421,670,1238,634,885,695,5446,14
2015,5502,10424,4669,6460,14462,5573,7216,4727,20755,49,209,218,180,528,446,176,576,209,2347,5,481,416,361,810,614,305,503,311,3510,11,507,741,403,656,1211,565,871,685,5376,13
2014,5513,10425,4414,6414,12457,5304,7217,4697,19738,20,213,213,174,518,443,168,576,205,2119,2,477,419,356,789,587,270,501,307,3231,1,509,741,397,650,1192,555,873,685,5234,0
2013,5506,10065,4204,6409,11172,4610,6809,4492,18291,18,196,198,164,520,413,125,553,154,1957,2,447,397,329,783,530,247,486,224,3009,1,500,713,386,647,1167,524,859,650,5099,0
2012,5501,10064,3755,6374,10590,4003,6183,3356,15674,18,196,197,144,509,415,119,549,132,1821,2,446,389,296,767,494,207,480,183,2655,1,497,727,367,657,1149,503,828,569,4914,0
2011,5499,10052,3336,6338,9554,3844,5422,3355,14496,18,194,189,137,498,414,91,487,132,1731,2,447,382,284,764,477,169,417,183,2564,1,497,682,351,655,1137,481,769,568,4861,0
2010,5491,10027,2806,6296,8848,3269,3149,3108,12914,18,188,190,106,486,376,89,373,132,1619,2,450,372,200,758,400,166,328,183,2397,1,493,678,288,654,1075,478,587,568,4708,0
2009,5490,9998,1677,6285,4443,2619,2306,2690,12151,18,188,192,93,484,306,89,291,99,1577,2,449,362,150,754,298,151,245,164,2316,1,505,669,226,657,810,471,500,629,4607,0
2008,5488,9990,1385,6260,3481,1259,2212,2690,12055,18,188,190,86,475,289,70,268,99,1575,2,448,361,134,755,269,132,224,165,2280,1,505,671,203,675,717,424,486,628,4602,0
2007,4863,9956,1385,5915,3119,1255,2212,649,12043,18,163,189,79,441,254,69,268,86,1569,2,349,356,139,737,254,129,224,96,2278,1,582,672,204,630,693,425,486,325,4600,0
2006,4864,9934,664,5918,2912,1192,2163,623,11901,3,162,181,73,442,253,68,265,84,1541,2,348,351,101,738,237,129,222,96,2258,1,583,674,167,631,681,426,488,323,4591,0
2004,4853,9917,499,5743,1721,771,2163,553,11824,2,162,179,64,413,171,47,265,61,1490,1,352,345,79,729,160,120,221,82,2239,1,587,688,161,628,470,392,488,316,4592,0
2003,4789,2139,473,401,1532,768,2098,516,9706,2,184,182,57,30,162,46,250,61,1276,1,337,331,78,37,144,118,243,76,1634,1,609,681,158,90,444,389,474,302,3864,0
2002,2150,2138,453,263,1265,747,2018,513,7150,0,181,182,55,30,157,46,222,59,1046,0,339,326,79,37,143,118,236,77,1291,0,617,684,159,90,442,393,481,300,3377,0
