Year,Africa Eastern and Southern,Africa Western and Central,Australia,Austria,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,"Bahamas, The",Belize,Bolivia,Brazil,Botswana,Central African Republic,Canada,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Costa Rica,Caribbean small states,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,Ecuador,Euro area,Spain,Fragile and conflict affected situations,Finland,Fiji,France,Gabon,United Kingdom,Ghana,Greece,Guatemala,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Haiti,IBRD only,IDA & IBRD total,IDA total,IDA blend,IDA only,India,Ireland,Iceland,Italy,Jamaica,Kenya,St. Kitts and Nevis,"Korea, Rep.",Latin America & Caribbean (excluding high income),Latin America & Caribbean,Sri Lanka,Lower middle income,Low & middle income,Lesotho,Late-demographic dividend,Luxembourg,Morocco,Madagascar,Mexico,Middle income,Malawi,Malaysia,North America,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,OECD members,Pakistan,Panama,Peru,Philippines,Papua New Guinea,Pre-demographic dividend,Puerto Rico,Portugal,Post-demographic dividend,Rwanda,South Asia,Sudan,Senegal,Singapore,Sierra Leone,Sub-Saharan Africa (excluding high income),Sub-Saharan Africa,Suriname,Sweden,Eswatini,Seychelles,Chad,East Asia & Pacific (IDA & IBRD countries),Togo,Thailand,Latin America & the Caribbean (IDA & IBRD countries),South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),Trinidad and Tobago,Turkey,Uganda,Upper middle income,Uruguay,United States,St. Vincent and the Grenadines,World,South Africa,Zambia,Zimbabwe
1960,19291929319.7389,10407321640.3539,18577668271.9229,6592693841.18495,195999990.0,11658722590.99,226195579.35701,330442817.168859,4274893913.49536,169803921.568627,28071888.5622288,373879363.595386,15165569912.5199,30412308.9864012,112155598.949571,40461721692.6468,4110000000.0,59716467625.3148,546203561.571989,614206071.002235,3359404117.64706,131731862.568975,4031152976.63904,507513829.994855,1880306125.08709,672399700.0,2723593384.78054,80228099085.3378,155760911038.015,2069465326.41882,244822233085.413,12072126075.397,29349021069.3616,5224102195.52771,112328422.113084,62225478000.8822,141468978.376811,73233967692.1028,1217230038.26781,4335186016.83942,1043599900.0,170215248.206265,1065948843592.6,1320796651.69457,335650000.0,17362158669.5291,273187200.0,315973597830.62,352596709532.301,37717512939.3174,12063675731.3764,26675755356.452,37029883875.4573,1939329775.43739,248434096.968726,40385288344.1911,699050678.98642,791265458.818076,12366563.6119699,3958190758.62419,65620808165.847,81651509143.1006,1409873949.57983,88920589041.2411,334795344385.953,34579308.4138317,181842917423.45,703925705.942958,2037150716.33238,673081724.076322,13040000000.0,322125506384.578,162956740.865183,1916241996.60264,583846188346.724,449526872.565486,4196092258.15484,223854666.666667,12276734172.0828,5163271598.15702,508334413.965087,1080919288767.36,3749265014.69971,537147100.0,2571908062.07692,6684568805.0688,230496032.981216,20951544748.0569,1691900000.0,3193200404.37297,1046332223873.93,119000024.0,47170699606.9233,1307333333.33333,1003692374.55789,704756304.717104,322009471.56704,29241261008.7303,29252647706.2346,99650000.0,15822585033.5764,35076158.4768305,12012012.012012,313582729.426485,80063316656.9229,121128073.114022,2760747471.88624,76704221426.2271,47170699606.9233,29252647706.2346,535670127.748935,13995067817.5092,423008385.744235,237934419358.275,1242289239.20493,543300000000.0,13066557.7786852,1384628173213.67,7575396973.02288,713000000.0,1052990400.0
1961,19701861087.7779,11131302981.479,19652816664.8001,7311749633.36229,202999992.0,12400145221.595,235668222.429984,350247237.11684,4817580183.60155,190098039.215686,29964370.7125857,406684585.719294,15236854859.469,32902336.644746,123134584.467673,40934952063.9468,4609727272.72727,50056868957.6732,618245639.221382,652777613.643638,3086746857.14286,151675739.160603,4540447761.19403,490325181.614275,2038301741.01758,654100200.0,2434727329.809,70426361459.3414,156501527150.353,1753850416.70826,268953400361.151,13834300571.4849,30472424079.3784,5921659485.03284,116987784.913739,67461644222.0352,167637908.489803,77741965703.3544,1302674264.19915,4961400439.31722,1076699900.0,185848451.262906,1128319563908.67,1383681651.13776,356200000.0,17811912756.9974,271066000.0,301198959536.37,341015401182.001,39827767715.5173,12910219880.3363,27957707199.3268,39232435784.0946,2088012282.35667,253885656.329253,44842760293.1924,748028839.423211,792959472.139024,12483229.3064224,2417558289.36656,68624073521.7132,86450353399.0946,1444327731.09244,94061080940.3571,321087790322.644,35699286.0142797,167916484925.597,704145671.350213,2025689536.60705,699161943.857103,14160000000.0,308137575552.815,174576508.469831,1901868548.28172,604324202050.644,485785234.940376,4467200335.99328,240524723.428571,13493833739.9949,5632460936.54576,531959561.62226,1136637327305.46,4118647627.04746,599026300.0,2899654840.36567,7256966966.22556,244832035.032526,21546817734.2961,1865100000.0,3417516639.37596,1106297047932.93,122000016.0,50331770780.8139,1419333333.33333,1058975265.58883,764634783.744937,327834680.557103,30384230629.6307,30395076455.5819,107700000.0,17212686614.5726,43025199.4960101,11592011.5920116,333975338.83416,70281711056.3279,126396469.707058,3034043574.06071,81096175117.2242,50331770780.8139,30395076455.5819,584961208.656595,7988888888.88889,441524109.014675,213309686104.865,1547388781.43133,563300000000.0,13999883.3343055,1440342189098.71,7972996814.14993,696285714.285714,1096646600.0
1962,21470351752.549,11946843968.9628,19892485160.7123,7756110210.11966,213500006.0,13264015675.3193,236434906.75427,379567023.340308,5081413339.78635,212254901.960784,31856922.8615428,444665186.397102,19926293839.0163,35643207.6265246,124482748.937917,42227447631.9159,5416272727.27273,47209359005.6057,645284344.684118,694247725.537204,3779841428.57143,166521239.86331,4955543963.36869,479180824.348506,2153895647.51123,824100000.0,2001428328.37091,64535753438.5537,161727595330.508,1518208221.23052,298805957085.637,16138545209.246,33693015219.7675,6340580854.39073,122906434.957814,75607529809.9288,182796536.499917,81247564156.8246,1382515590.06942,5213047711.42704,1143600000.0,194948375.430205,1217987853620.26,1612346412.26475,387750000.0,19385281267.1852,281896800.0,313641680976.976,356969387285.059,42940736936.5229,13806111069.8856,30280698933.0784,42161481858.7014,2260349684.08625,284916516.159537,50383891898.9911,777712445.751085,868111400.014073,12541562.1536487,2814318516.60968,79174794692.4698,98887395345.0436,1434156378.60082,95978572098.1187,334429290206.644,41859162.8167437,176167276812.775,741509480.796284,2379606422.29029,739286906.851553,15200000000.0,319694266052.876,183116337.673247,2001502678.6881,647421597617.883,531736492.909178,4909302953.94092,265291588.666667,14647057370.1418,6066976682.67364,574091101.194382,1226903891897.31,4310163796.72407,652120900.0,3286773187.87687,4399827767.96704,261184037.372302,23587218352.4159,2094400000.0,3668222357.65702,1194518726498.29,125000008.0,53721519494.2269,1541666666.66667,1085475573.48959,826244609.95688,342721579.817636,32919570183.9908,32931412202.0829,116150000.0,18667251380.0746,45927061.4587708,12642026.5718964,357635713.876922,64403201897.4798,132237441.630863,3308912796.93487,92824010528.9346,53721519494.2269,32931412202.0829,619319197.340022,8922222222.22222,449012578.616352,223871699062.67,1710004407.22785,605100000000.0,14524878.959342,1545696874313.13,8497996604.37052,693142857.142857,1117601600.0
1963,25704995452.1713,12680220415.2601,21507447642.5132,8374175257.73075,232749998.0,14260017387.0492,253927646.475909,394040588.303477,5319458351.16235,237745098.039216,33749405.0118998,478805990.083307,23021477292.2093,38091150.566196,129379097.888958,45029988561.2124,5668187500.0,50706799902.5104,761047045.830402,718320701.389784,6213185742.57426,172233430.871484,4836166666.66667,511902136.809973,2290313587.93574,940799900.0,2702960118.28806,69883263758.9678,171478810153.645,1824344492.07169,335327047842.942,19074913947.7196,38736837733.2883,6885920328.66187,129454728.623599,84759195105.8693,154480244.246828,86561961812.3249,1540797516.79469,5895278024.09202,1262800000.0,175756868.692761,1312049348328.28,1935298266.45384,410200000.0,23388590794.8324,294883400.0,334936683087.183,383983984190.01,48293337277.6804,14611953713.5818,35169326198.953,48421923458.7413,2430843768.44553,340061650.119898,57710743059.8341,826690466.190676,926589348.572953,12833226.3897801,3988784572.24835,78810137064.4409,99799463180.4464,1240672268.90756,106797935821.989,360183209698.238,47039059.2188156,190934000739.002,791140595.772755,2657247327.3392,759345862.971331,16960000000.0,341273686639.232,190816183.676326,2510126747.68065,683726355213.516,586294761.493516,5165489010.2198,292916241.142857,15891241386.291,6510239502.76489,496947904.443033,1322444599057.41,4630827383.45233,722784500.0,3600957771.15299,4875309866.34017,275968039.487715,27488662211.9429,2333600000.0,3905734459.72693,1286713396893.12,128000000.0,60426255394.5899,1568333333.33333,1122139637.25693,917614007.578727,348546952.134368,37715832947.7199,37728782383.3013,125950000.0,20204870629.7441,54128377.4324513,13923029.2643975,371767002.655998,69739728837.4247,143255784.510751,3540403456.55305,93433637676.7528,60426255394.5899,37728782383.3014,678235373.038558,10355555555.5556,516147798.742138,233328403223.055,1539681490.78174,638600000000.0,13708219.0981742,1665140917215.54,9423396234.59933,718714285.714286,1159511700.0
1964,23501645213.0399,13842621612.1733,23764139321.3126,9169983885.71185,260750008.0,15960106680.6732,269818988.259263,410321618.17137,5386054619.34987,266666666.666667,36193826.1234775,539491477.320156,21211892259.9904,41613969.0506064,142025069.461676,49377522896.703,5982347826.08696,59708343488.5043,921063266.445521,776650126.190072,2881545272.72727,185693724.845363,5973366666.66667,542578367.242598,2470264539.67836,1025599900.0,2909292864.23204,81022528789.384,196835283798.465,2244146867.90195,373007781485.543,21343844643.7341,34104522122.9472,7766655085.78588,140032741.468329,94007851047.3678,215679855.272553,94407558351.1616,1731296118.87113,6669673257.1183,1299099900.0,194773376.888526,1432139276432.11,2206466461.26434,457000000.0,20894278675.1242,325281200.0,379872173755.145,427048410254.8,47357737721.3404,15945561034.346,32519705551.4494,56480289940.8261,2766608945.87402,434267936.914583,63175417019.0094,897931401.371973,998759333.643326,13416554.8620428,3458939357.73377,90906169854.7386,111214931920.54,1309747899.15966,120295398617.646,404582836685.153,51938961.2207756,210627020154.086,903158753.943622,2798339768.79755,802482182.924192,20080000000.0,389730745046.126,194736105.277894,2674441395.53116,735285089547.337,582816358.347155,5552822483.55033,341973758.857143,18699380731.3465,7159202706.48027,496098775.308642,1445362086595.63,5204955900.88198,776137500.0,4356913870.23507,5271404668.36735,305312043.68649,25607056503.3409,2570500000.0,4235608177.67102,1403824814571.82,129999994.0,69179494304.1268,1611333333.33333,1188930567.71363,894159153.273226,371848114.747956,36833198150.6964,36847822958.0764,134400000.0,22532416750.0125,64979280.4143917,15393032.3541529,392247517.602016,80856114662.6323,166104067.630043,3889129942.30769,104149617264.792,69179494304.1268,36847822958.0764,711893367.55527,11177777777.7778,589056603.773585,268629555469.805,1975701816.46615,685800000000.0,14758210.3482471,1824117368130.59,10373995854.7587,839428571.428571,1217138000.0
1965,26781169143.619,14866816736.9203,25936835031.9185,9994070615.85997,158994962.962963,17371457607.9374,289908720.648622,422916848.424208,5906636557.00092,300392156.862745,40069930.0699301,604377104.377104,21790035117.19,45790869.7473126,150574816.300764,54515179580.7148,6026593750.0,70436266146.7219,919771356.426097,814083378.458171,4043901818.18182,198318063.860841,5760761904.7619,592981162.264151,2660946063.37451,888100000.0,3136258896.9233,94554860890.8996,213471002700.762,2387048255.45173,407722672045.098,24756958694.9238,37472060475.3884,8589340019.02985,147084750.031482,101537248148.427,226474285.587116,101824755078.991,2053462872.38275,7689154053.35866,1331399900.0,213235294.117647,1555232129585.11,2435078534.03141,508650000.0,24403046585.3888,353251800.0,415604424064.366,469235356560.072,53568496994.8905,17314191978.3344,37664219180.1664,59554854574.7942,2945704142.99765,523694949.370689,67978153850.5191,972140557.188856,997919319.980049,13593932.3220537,3120833333.33333,97587712662.4311,118563336870.676,1698319327.73109,130034605858.552,446458459563.088,54878902.4219516,234927801902.062,921600736.304026,2948325264.30195,833563472.162352,21840000000.0,428821888044.334,229455410.891782,2956356984.18921,798329518629.68,673383604.238783,5874422511.54977,566542872.357143,21000586933.2041,8058681060.159,735267082.294264,1568732198938.33,5929231415.37169,852485300.0,5166861068.42164,5784398976.9821,344159480.344943,28861405674.8629,2881500000.0,4687464054.83455,1525224565725.33,148799980.0,74296512694.0871,1679333333.33333,1210058396.0603,974650463.870378,359379856.248057,41025829559.3982,41040420129.8772,154150000.0,24795499685.775,70278594.4281114,15603032.7955465,416926302.963509,94360652380.7432,187300336.365369,4388937649.03846,110871922979.608,74296512694.0871,41040420129.8772,736568861.926151,11966666666.6667,884873949.579832,298646047392.695,1890769326.14221,743700000000.0,15108207.4316047,1986368335055.12,11334395471.0023,1082857142.85714,1311435800.0
1966,29120191778.8475,15837474342.612,27268451114.3465,10887682273.1014,165444571.428571,18651883472.4808,302925280.773564,433889831.584706,6439687598.32325,340000000.0,44405594.4055944,669191919.191919,27062716577.9111,51464435.1464435,157930041.875883,61088384036.6515,7072641025.64103,76720285969.6157,1024103034.29198,851112662.733069,4532660181.81818,220613582.369866,5428518518.51852,647305630.188679,2888647977.98384,983900000.0,3039834558.74906,103511578944.536,210490915090.854,2429309513.80854,444863225922.114,28721062242.1634,39940092596.1025,9208524504.87684,150603925.515853,110045852177.928,245849781.715943,108572752102.045,2126300573.17668,8591517943.60129,1390700000.0,228705882.352941,1706106562331.4,2489845016.64894,549950000.0,26573965675.1408,368948600.0,428157693690.623,486690909683.398,58111783711.6986,18833649405.7253,40796537015.614,45865462033.91,3104034393.23162,628893310.399926,73654870011.2757,1096738065.2387,1164519673.19763,14469078.1796966,3928908380.62947,107375960281.92,130040255403.698,1751470588.23529,119507696970.372,462139983061.229,56698866.0226795,260850445044.426,968440149.470951,2876395613.08171,900264583.688205,24320000000.0,443074971269.006,260394792.104158,3143538481.64119,876222557410.437,702296184.361344,6366792664.14672,606671444.0,22867203317.4022,8696460205.3397,906811943.824649,1721759731076.64,6561108777.82444,928833000.0,6113607728.15672,6371459304.41018,390973233.284802,31699952533.3306,3170500000.0,5135387845.97108,1672966281754.22,124525702.857143,62475116958.2954,1723000000.0,1246908373.74285,1096432771.46217,375479849.80806,44266610765.0339,44281921449.2386,190350000.0,26971486546.2848,76858462.8307434,16443034.5611211,432794922.459835,103298974015.066,216136263.912497,5279230817.30769,121583698791.306,62475116958.2954,44281921449.2386,723735635.536371,14100000000.0,925770308.123249,329277298034.594,1809183974.52669,815000000000.0,16099865.8344514,2155141191250.72,12354995063.1911,1264285714.28571,1281749500.0
1967,30140087527.3353,14430648806.7267,30397580916.116,11579431668.9165,178297142.857143,19992040788.4593,306222000.407316,450753993.176448,7253575399.3215,390196078.431373,47379310.3448276,755808080.808081,30591834053.9653,58646443.5146444,163820538.867947,65668655501.1254,7013196078.43137,72881631326.6715,1082922892.15202,936175404.642829,3384063371.75792,237397428.336411,5825170438.48704,699456618.867925,3102515476.18807,1034800000.0,3370843065.76735,100299454113.949,221186024225.324,2553596091.82258,483397390711.538,31647119228.1982,38729633430.9346,9368954010.3132,162625885.863484,118972977486.207,271543680.279265,113116888210.787,1747187539.20717,9275600800.35644,1453500000.0,250176470.588235,1830463035189.27,2692474989.12571,598100000.0,26030980199.1775,369124200.0,440430342910.698,499432707652.384,58701220412.1712,18930428561.6326,41324926151.0109,50134942203.4467,3343636773.36759,621225962.154708,81133120065.4202,1148025407.34604,1232559505.92359,16742338.2519864,4855907141.80098,110128541024.928,133466375791.335,1859465020.57613,127684325887.638,474575901700.272,59260814.7837043,263508138778.223,974721762.535327,3046339294.53611,956436931.142347,26560000000.0,455975749437.944,269814968.240817,3188945511.56409,927523758485.753,665586975.088302,5203135937.28125,657171436.714286,25087562181.3218,9514496703.39762,841974025.462659,1848295442505.0,7464510709.7858,1034376400.0,6204253758.57616,6809134235.54298,441706910.068317,29930459966.888,3532700000.0,5740241165.63433,1795895375018.83,159560018.0,68733357253.0769,1865666666.66667,1246480958.51385,1238043904.35123,348795303.000385,43761551759.3861,43777102195.355,220700000.0,29275995674.6888,74758504.8299034,16632032.8140183,449826322.995072,100093446645.169,231706475.464114,5638461442.30769,124466899308.875,68733357253.0769,43777102195.355,761981474.023359,15644444444.4444,967647058.823529,332315363395.83,1597721080.00991,861700000000.0,15835177.9329133,2294158518612.92,13777394494.8287,1368000000.0,1397002000.0
1968,32841005863.0737,14884699923.3509,32665472057.3412,12440625312.8685,183200000.0,21376353113.475,326323097.355964,460442678.217048,7483685473.51275,444901960.784314,44910179.6407186,857912457.912458,33875881876.3672,66248256.6248257,191767436.956884,71829810519.8955,7167086956.52174,70846535055.6503,1281281245.67032,1046191192.44383,3909780538.92216,251247458.012139,5960212869.12968,773841494.339623,3083590686.77691,1079100000.0,3852115816.97758,101235231307.134,239433240127.065,2582180794.1855,518968899248.406,31475548481.4095,40907149167.3548,8823033880.32993,166952937.135005,129785441507.456,294468564.534311,107759910067.889,1666910166.289,10090675902.5364,1610500000.0,229750000.0,1985010911622.92,2716964388.42418,646800000.0,27545736539.5467,367968800.0,465423028984.826,527405433411.226,61701165535.498,19982392385.935,43335098645.8662,53085455870.8227,3278584478.33023,474399471.622359,87942231678.3505,1083883355.33421,1353295457.5261,14600000.0,6119284294.23459,118974491355.515,143750503797.266,1801344537.81513,137437481277.592,501314580042.981,61444771.1045779,268992310184.964,1066447130.82052,3271415867.99723,1031669636.36116,29360000000.0,481774912586.316,245169806.792272,3330393309.81315,1014479810519.9,641214210.668969,5200895982.08036,695899980.428571,27817605743.2503,10159934136.7838,772228643.405428,2004937959357.32,8041999160.0168,1112791100.0,5736083835.22481,7591603053.43511,485160824.280435,31546663898.214,3941700000.0,6354262628.33537,1947967064072.05,172200018.0,72039818016.715,1947333333.33333,1309384830.19071,1425715405.72325,329860091.944037,46794427529.999,46809186092.1302,241350000.0,31066819929.2853,79798404.0319194,16074027.3496039,453980096.654503,101027301822.999,241956910.658103,6081009427.88461,133896043276.902,72039818016.715,46809186092.1302,758899950.0,17500000000.0,1037815126.05042,347417246866.31,1593675330.16467,942500000000.0,15350000.0,2476489966881.55,14894594048.4181,1605857142.85714,1479599900.0
1969,37702959878.0752,16887028427.8935,36628961809.8331,13582798556.2404,190205714.285714,23710735894.7022,330748211.459737,478298597.556707,8471006100.95399,528137254.901961,47305389.2215569,929629629.62963,37458898243.8609,77356914.0788191,188039191.323608,79148411661.6902,8377093023.25581,79705906247.4612,1361360157.26999,1100551378.55506,5032434970.05988,265040036.059152,6450175213.74923,853630203.773585,3359706536.46511,1230500000.0,4257218772.15369,113676490050.783,267457506055.19,3112166848.3004,579307468883.092,36038711599.541,45947962619.3251,10070766720.5011,182182067.703568,141903068680.309,318124701.048993,116464702803.218,1962051319.26134,11615657031.2387,1715399900.0,249300000.0,2183923017328.79,3189740055.13982,668000050.0,30608593557.1,391820400.0,520014431081.277,590015813926.187,69616925098.3182,22860731891.4059,48515700079.1144,58447995016.8493,3787077343.72783,414709311.35296,97085082807.3751,1191287651.50606,1458379415.40278,15850000.0,7678581343.69794,133625574818.324,160979586156.878,1965546218.48739,152857217106.057,561409453885.81,65966680.6663867,300602372710.741,1234878980.502,3651615453.01848,1056391054.5386,32480000000.0,538945116279.509,265810632.425297,3664575983.27453,1099213311661.69,625867922.677513,6634187316.25367,747971449.571429,34035946604.1815,11063065083.4888,788641965.432099,2205468158993.21,8683116337.67325,1221305700.0,6420909789.63824,8408229699.14295,551237316.608803,35728789857.1557,4460700000.0,6969025825.62868,2141876405338.08,188700037.0,79195490145.2863,2144333333.33333,1245234806.89546,1659904612.57023,408690163.476065,53510596329.9503,53525364899.5933,259650000.0,33738102482.1558,105417891.642167,16452027.9927637,471635620.924431,113443007165.138,267732446.378413,6695336567.30769,149867494589.505,79195490145.2863,53525364899.5933,779200000.0,19466666666.6667,1169047619.04762,389928731447.298,2004435483.87097,1019900000000.0,16650000.0,2732228119317.81,16780393294.8904,1965714285.71429,1747998800.0
