State;2010;2011
Alabama;4785437;4799069
Alaska;713910;722128
Arizona;6407172;6472643
Arkansas;2921964;2940667
California;37319502;37638369
Colorado;5047349;5121108
Connecticut;3579114;3588283
Delaware;899593;907381
District of Columbia;605226;619800
Florida;18845537;19053237
Georgia;9711881;9802431
Hawaii;1363963;1379329
Idaho;1570746;1583910
Illinois;12840503;12867454
Indiana;6490432;6516528
Iowa;3050745;3066336
Kansas;2858190;2869225
Kentucky;4348181;4369821
Louisiana;4544532;4575625
Maine;1327629;1328284
Maryland;5788645;5839419
Massachusetts;6566307;6613583
Michigan;9877510;9882412
Minnesota;5310828;5346143
Mississippi;2970548;2978731
Missouri;5995974;6010275
Montana;990697;997316
Nebraska;1829542;1840672
Nevada;2702405;2712730
New Hampshire;1316762;1320202
New Jersey;8799446;8828117
New Mexico;2064552;2080450
New York;19399878;19499241
North Carolina;9574323;9657592
North Dakota;674715;685225
Ohio;11539336;11544663
Oklahoma;3759944;3788379
Oregon;3837491;3872036
Pennsylvania;12711160;12745815
Rhode Island;1053959;1053649
South Carolina;4635649;4671994
South Dakota;816166;823579
Tennessee;6355311;6399291
Texas;25241971;25645629
Utah;2775332;2814384
Vermont;625879;627049
Virginia;8023699;8101155
Washington;6742830;6826627
West Virginia;1854239;1856301
Wisconsin;5690475;5705288
Wyoming;564487;567299
