Table 1. Annual Estimates of the Resident Population for the United States
State 2014 2015
Alabama 4841799 4852347
Alaska 736283 737498
Arizona 6730413 6829676
Arkansas 2967392 2978048
California 38596972 38918045
Colorado 5350101 5450623
Connecticut 3594524 3587122
Delaware 932487 941252
District_of_Columbia 662328 675400
Florida 19845911 20209042
Georgia 10067278 10178447
Hawaii 1414538 1422052
Idaho 1631112 1651059
Illinois 12884493 12858913
Indiana 6593644 6608422
Iowa 3109350 3120960
Kansas 2900475 2909011
Kentucky 4414349 4425976
Louisiana 4644013 4664628
Maine 1330513 1328262
Maryland 5957283 5985562
Massachusetts 6762596 6794228
Michigan 9929848 9931715
Minnesota 5451079 5482032
Mississippi 2990468 2988471
Missouri 6056202 6071732
Montana 1021869 1030475
Nebraska 1879321 1891277
Nevada 2817628 2866939
New_Hampshire 1333341 1336350
New_Jersey 8864525 8867949
New_Mexico 2089568 2089291
New_York 19651049 19654666
North_Carolina 9932887 10031646
North_Dakota 737401 754066
Ohio 11602700 11617527
Oklahoma 3878187 3909500
Oregon 3963244 4015792
Pennsylvania 12788313 12784826
Rhode_Island 1055936 1056065
South_Carolina 4823617 4891938
South_Dakota 849129 853988
Tennessee 6541223 6591170
Texas 26964333 27470056
Utah 2936879 2981835
Vermont 625214 625216
Virginia 8310993 8361808
Washington 7054655 7163657
West_Virginia 1849489 1842050
Wisconsin 5751525 5760940
Wyoming 582531 585613
