 Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON,Year
 1880 ,-82  ,-39  ,-47  ,-65  ,-35  ,-48  ,-46  ,8    ,-49  ,-66  ,-50  ,-52  ,-48  ,NaN  ,NaN ,-49  ,-29  ,-55  ,1880
 1881 ,-75  ,-60  ,-34  ,-25  ,-3   ,-112 ,-52  ,-25  ,-36  ,-49  ,-56  ,-14  ,-45  ,-48  ,-62  ,-21  ,-63  ,-47  ,1881
 1882 ,11   ,-12  ,-8   ,-58  ,-37  ,-101 ,-68  ,-10  ,-7   ,-30  ,-38  ,-65  ,-35  ,-31  ,-5   ,-35  ,-60  ,-25  ,1882
 1883 ,-66  ,-93  ,-44  ,-30  ,-34  ,46   ,1    ,-15  ,-44  ,-54  ,-66  ,-36  ,-36  ,-39  ,-75  ,-36  ,11   ,-55  ,1883
 1884 ,-57  ,-32  ,-37  ,-91  ,-118 ,-80  ,-81  ,17   ,-34  ,-75  ,-78  ,-96  ,-63  ,-58  ,-42  ,-82  ,-48  ,-62  ,1884
 1885 ,-87  ,-74  ,-86  ,-82  ,-45  ,-89  ,-56  ,-12  ,-11  ,1    ,-34  ,7    ,-47  ,-56  ,-86  ,-71  ,-52  ,-14  ,1885
 1886 ,-70  ,-76  ,-64  ,-58  ,-53  ,-80  ,-34  ,-69  ,-38  ,-81  ,-44  ,-69  ,-61  ,-55  ,-47  ,-58  ,-61  ,-55  ,1886
 1887 ,-81  ,-123 ,-54  ,-79  ,-83  ,-63  ,-36  ,-22  ,-58  ,-48  ,-88  ,-62  ,-66  ,-67  ,-91  ,-72  ,-40  ,-65  ,1887
 1888 ,-73  ,-79  ,-89  ,-29  ,-74  ,-54  ,-33  ,-33  ,-39  ,-25  ,-4   ,-13  ,-45  ,-49  ,-71  ,-64  ,-40  ,-23  ,1888
 1889 ,-25  ,19   ,9    ,14   ,11   ,-29  ,-39  ,-59  ,-36  ,-19  ,-42  ,-36  ,-19  ,-17  ,-7   ,11   ,-42  ,-32  ,1889
 1890 ,-58  ,-58  ,-59  ,-48  ,-89  ,-56  ,-55  ,-57  ,-31  ,-25  ,-76  ,-50  ,-55  ,-54  ,-51  ,-65  ,-56  ,-44  ,1890
 1891 ,-93  ,-101 ,-51  ,-67  ,-48  ,-56  ,-72  ,-57  ,-50  ,-57  ,-55  ,3    ,-59  ,-63  ,-82  ,-55  ,-62  ,-54  ,1891
 1892 ,-61  ,-28  ,-57  ,-69  ,-64  ,-55  ,-35  ,-24  ,-45  ,-32  ,-60  ,-57  ,-49  ,-44  ,-29  ,-63  ,-38  ,-46  ,1892
 1893 ,-140 ,-97  ,-57  ,-64  ,-72  ,-66  ,-12  ,-34  ,-25  ,-8   ,-12  ,-35  ,-52  ,-53  ,-98  ,-64  ,-37  ,-15  ,1893
 1894 ,-83  ,-60  ,-39  ,-64  ,-65  ,-47  ,-36  ,-31  ,-42  ,-7   ,-13  ,-15  ,-42  ,-43  ,-59  ,-56  ,-38  ,-21  ,1894
 1895 ,-67  ,-78  ,-49  ,-46  ,-30  ,-28  ,-51  ,-18  ,-13  ,-8   ,-14  ,-5   ,-34  ,-35  ,-53  ,-42  ,-32  ,-12  ,1895
 1896 ,-22  ,-28  ,-52  ,-46  ,-45  ,-46  ,-20  ,-38  ,-10  ,-2   ,-44  ,-20  ,-31  ,-30  ,-18  ,-48  ,-35  ,-19  ,1896
