name;slug;value;date_of_information;ranking;region
"South Africa";"south-africa";"63";"2014";1;"Africa"
"Namibia";"namibia";"59.1";"2015";2;"Africa"
"Zambia";"zambia";"57.1";"2015";3;"Africa"
"Central African Republic";"central-african-republic";"56.2";"2008";4;"Africa"
"Eswatini";"eswatini";"54.6";"2016";5;"Africa"
"Colombia";"colombia";"54.2";"2020";6;"South America"
"Mozambique";"mozambique";"54";"2014";7;"Africa"
"Hong Kong";"hong-kong";"53.9";"2016";8;"East and Southeast Asia"
"Botswana";"botswana";"53.3";"2015";9;"Africa"
"Angola";"angola";"51.3";"2018";10;"Africa"
"Saint Lucia";"saint-lucia";"51.2";"2016";11;"Central America and the Caribbean"
"Zimbabwe";"zimbabwe";"50.3";"2020";12;"Africa"
"Panama";"panama";"49.8";"2019";13;"Central America and the Caribbean"
"Costa Rica";"costa-rica";"49.3";"2020";14;"Central America and the Caribbean"
"Brazil";"brazil";"48.9";"2020";15;"South America"
"Congo, Republic of the";"congo-republic-of-the";"48.9";"2011";16;"Africa"
"Guatemala";"guatemala";"48.3";"2014";17;"Central America and the Caribbean"
"Honduras";"honduras";"48.2";"2019";18;"Central America and the Caribbean"
"Burkina Faso";"burkina-faso";"47.3";"2018";19;"Africa"
"Ecuador";"ecuador";"47.3";"2020";20;"South America"
"Cameroon";"cameroon";"46.6";"2014";21;"Africa"
"Nicaragua";"nicaragua";"46.2";"2014";22;"Central America and the Caribbean"
"Singapore";"singapore";"45.9";"2017";23;"East and Southeast Asia"
"Saudi Arabia";"saudi-arabia";"45.9";"2013";24;"Middle East"
"Mexico";"mexico";"45.4";"2020";25;"North America"
"Comoros";"comoros";"45.3";"2014";26;"Africa"
"Chile";"chile";"44.9";"2020";27;"South America"
"Lesotho";"lesotho";"44.9";"2017";28;"Africa"
"Guyana";"guyana";"44.6";"2007";29;"South America"
"South Sudan";"south-sudan";"44.1";"2016";30;"Africa"
"Peru";"peru";"43.8";"2020";31;"South America"
"Rwanda";"rwanda";"43.7";"2016";32;"Africa"
"Bolivia";"bolivia";"43.6";"2020";33;"South America"
"Paraguay";"paraguay";"43.5";"2020";34;"South America"
"Ghana";"ghana";"43.5";"2016";35;"Africa"
"Uganda";"uganda";"42.7";"2019";36;"Africa"
"Madagascar";"madagascar";"42.6";"2012";37;"Africa"
"Cabo Verde";"cabo-verde";"42.4";"2015";38;"Africa"
"Togo";"togo";"42.4";"2018";39;"Africa"
"Philippines";"philippines";"42.3";"2018";40;"East and Southeast Asia"
"Argentina";"argentina";"42.3";"2020";41;"South America"
"Congo, Democratic Republic of the";"congo-democratic-republic-of-the";"42.1";"2012";42;"Africa"
"Turkey (Turkiye)";"turkey-turkiye";"41.9";"2019";43;"Middle East"
"Papua New Guinea";"papua-new-guinea";"41.9";"2009";44;"East and Southeast Asia"
"Djibouti";"djibouti";"41.6";"2017";45;"Africa"
"United States";"united-states";"41.5";"2019";46;"North America"
"Qatar";"qatar";"41.1";"2007";47;"Middle East"
"Malaysia";"malaysia";"41.1";"2015";48;"East and Southeast Asia"
"Haiti";"haiti";"41.1";"2012";49;"Central America and the Caribbean"
"Iran";"iran";"40.9";"2019";50;"Middle East"
"Kenya";"kenya";"40.8";"2015";51;"Africa"
"Turkmenistan";"turkmenistan";"40.8";"1998";52;"Central Asia"
"Sao Tome and Principe";"sao-tome-and-principe";"40.7";"2017";53;"Africa"
"Tanzania";"tanzania";"40.5";"2017";54;"Africa"
"Bulgaria";"bulgaria";"40.3";"2019";55;"Europe"
"Uruguay";"uruguay";"40.2";"2020";56;"South America"
"Micronesia, Federated States of";"micronesia-federated-states-of";"40.1";"2013";57;"Australia and Oceania"
"Dominican Republic";"dominican-republic";"39.6";"2020";58;"Central America and the Caribbean"
"Morocco";"morocco";"39.5";"2013";59;"Africa"
"Sri Lanka";"sri-lanka";"39.3";"2016";60;"South Asia"
"Tuvalu";"tuvalu";"39.1";"2010";61;"Australia and Oceania"
"Venezuela";"venezuela";"39";"2011";62;"South America"
"El Salvador";"el-salvador";"38.8";"2019";63;"Central America and the Caribbean"
"Laos";"laos";"38.8";"2018";64;"East and Southeast Asia"
"Samoa";"samoa";"38.7";"2013";65;"Australia and Oceania"
"Israel";"israel";"38.6";"2018";66;"Middle East"
"Burundi";"burundi";"38.6";"2013";67;"Africa"
"Malawi";"malawi";"38.5";"2019";68;"Africa"
"China";"china";"38.2";"2019";69;"East and Southeast Asia"
"Senegal";"senegal";"38.1";"2018";70;"Africa"
"Gabon";"gabon";"38";"2017";71;"Africa"
"Indonesia";"indonesia";"37.9";"2021";72;"East and Southeast Asia"
"Cambodia";"cambodia";"37.9";"2008";73;"East and Southeast Asia"
"Benin";"benin";"37.8";"2018";74;"Africa"
"Tonga";"tonga";"37.6";"2015";75;"Australia and Oceania"
"Chad";"chad";"37.5";"2018";76;"Africa"
"Bhutan";"bhutan";"37.4";"2017";77;"South Asia"
"Niger";"niger";"37.3";"2018";78;"Africa"
"Cote d'Ivoire";"cote-divoire";"37.2";"2018";79;"Africa"
"Solomon Islands";"solomon-islands";"37.1";"2013";80;"Australia and Oceania"
"Uzbekistan";"uzbekistan";"36.8";"2003";81;"Central Asia"
"Montenegro";"montenegro";"36.8";"2018";82;"Europe"
"Somalia";"somalia";"36.8";"2017";83;"Africa"
"Mauritius";"mauritius";"36.8";"2017";84;"Africa"
"Yemen";"yemen";"36.7";"2014";85;"Middle East"
"New Zealand";"new-zealand";"36.2";"1997";86;"Australia and Oceania"
"Mali";"mali";"36.1";"2018";87;"Africa"
"Russia";"russia";"36";"2020";88;"Central Asia"
"Falkland Islands (Islas Malvinas)";"falkland-islands-islas-malvinas";"36";"2015";89;"South America"
"Gambia, The";"gambia-the";"35.9";"2015";90;"Africa"
"India";"india";"35.7";"2019";91;"South Asia"
"Sierra Leone";"sierra-leone";"35.7";"2018";92;"Africa"
"Vietnam";"vietnam";"35.7";"2018";93;"East and Southeast Asia"
"Marshall Islands";"marshall-islands";"35.5";"2019";94;"Australia and Oceania"
"Liberia";"liberia";"35.3";"2016";95;"Africa"
"Lithuania";"lithuania";"35.3";"2019";96;"Europe"
"Italy";"italy";"35.2";"2018";97;"Europe"
"Nigeria";"nigeria";"35.1";"2018";98;"Africa"
"United Kingdom";"united-kingdom";"35.1";"2017";99;"Europe"
"Ethiopia";"ethiopia";"35";"2015";100;"Africa"
"Thailand";"thailand";"35";"2020";101;"East and Southeast Asia"
"Macau";"macau";"35";"2013";102;"East and Southeast Asia"
"Jamaica";"jamaica";"35";"2016";103;"Central America and the Caribbean"
"Romania";"romania";"34.8";"2019";104;"Europe"
"Nauru";"nauru";"34.8";"2012";105;"Australia and Oceania"
"Guinea-Bissau";"guinea-bissau";"34.8";"2018";106;"Africa"
"Serbia";"serbia";"34.5";"2019";107;"Europe"
"Georgia";"georgia";"34.5";"2020";108;"Middle East"
"Latvia";"latvia";"34.5";"2019";109;"Europe"
"Australia";"australia";"34.3";"2018";110;"Australia and Oceania"
"Spain";"spain";"34.3";"2019";111;"Europe"
"Sudan";"sudan";"34.2";"2014";112;"Africa"
"Luxembourg";"luxembourg";"34.2";"2019";113;"Europe"
"Tajikistan";"tajikistan";"34";"2015";114;"Central Asia"
"Greenland";"greenland";"33.9";"2015";115;"North America"
"Jordan";"jordan";"33.7";"2010";116;"Middle East"
"West Bank";"west-bank";"33.7";"2016";117;"Middle East"
"Azerbaijan";"azerbaijan";"33.7";"2008";118;"Middle East"
"Gaza Strip";"gaza-strip";"33.7";"2016";119;"Middle East"
"Taiwan";"taiwan";"33.6";"2014";120;"East and Southeast Asia"
"Canada";"canada";"33.3";"2017";121;"North America"
"Greece";"greece";"33.1";"2019";122;"Europe"
"Switzerland";"switzerland";"33.1";"2018";123;"Europe"
"North Macedonia";"north-macedonia";"33";"2018";124;"Europe"
"Bosnia and Herzegovina";"bosnia-and-herzegovina";"33";"2011";125;"Europe"
"Japan";"japan";"32.9";"2013";126;"East and Southeast Asia"
"Tunisia";"tunisia";"32.8";"2015";127;"Africa"
"Portugal";"portugal";"32.8";"2019";128;"Europe"
"Nepal";"nepal";"32.8";"2010";129;"South Asia"
"Mongolia";"mongolia";"32.7";"2018";130;"East and Southeast Asia"
"Mauritania";"mauritania";"32.6";"2014";131;"Africa"
"Bangladesh";"bangladesh";"32.4";"2016";132;"South Asia"
"France";"france";"32.4";"2018";133;"Europe"
"Vanuatu";"vanuatu";"32.3";"2019";134;"Australia and Oceania"
"Seychelles";"seychelles";"32.1";"2018";135;"Africa"
"Lebanon";"lebanon";"31.8";"2011";136;"Middle East"
"Germany";"germany";"31.7";"2018";137;"Europe"
"Egypt";"egypt";"31.5";"2017";138;"Africa"
"Korea, South";"korea-south";"31.4";"2016";139;"East and Southeast Asia"
"Cyprus";"cyprus";"31.2";"2019";140;"Europe"
"Malta";"malta";"31";"2019";141;"Europe"
"Estonia";"estonia";"30.8";"2019";142;"Europe"
"Albania";"albania";"30.8";"2019";143;"Europe"
"Fiji";"fiji";"30.7";"2019";144;"Australia and Oceania"
"Burma";"burma";"30.7";"2017";145;"East and Southeast Asia"
"Ireland";"ireland";"30.6";"2018";146;"Europe"
"Poland";"poland";"30.2";"2018";147;"Europe"
"Austria";"austria";"30.2";"2019";148;"Europe"
"Hungary";"hungary";"30";"2019";149;"Europe"
"Pakistan";"pakistan";"29.6";"2018";150;"South Asia"
"Guinea";"guinea";"29.6";"2018";151;"Africa"
"Iraq";"iraq";"29.5";"2012";152;"Middle East"
"Afghanistan";"afghanistan";"29.4";"2008";153;"South Asia"
"Maldives";"maldives";"29.3";"2019";154;"South Asia"
"Sweden";"sweden";"29.3";"2019";155;"Europe"
"Netherlands";"netherlands";"29.2";"2019";156;"Europe"
"Kosovo";"kosovo";"29";"2017";157;"Europe"
"Kyrgyzstan";"kyrgyzstan";"29";"2020";158;"Central Asia"
"Croatia";"croatia";"28.9";"2019";159;"Europe"
"Timor-Leste";"timor-leste";"28.7";"2014";160;"East and Southeast Asia"
"Kiribati";"kiribati";"27.8";"2019";161;"Australia and Oceania"
"Kazakhstan";"kazakhstan";"27.8";"2018";162;"Central Asia"
"Denmark";"denmark";"27.7";"2019";163;"Europe"
"Finland";"finland";"27.7";"2019";164;"Europe"
"Norway";"norway";"27.7";"2019";165;"Europe"
"Algeria";"algeria";"27.6";"2011";166;"Africa"
"Belgium";"belgium";"27.2";"2019";167;"Europe"
"Iceland";"iceland";"26.1";"2017";168;"Europe"
"Moldova";"moldova";"26";"2019";169;"Europe"
"United Arab Emirates";"united-arab-emirates";"26";"2018";170;"Middle East"
"Ukraine";"ukraine";"25.6";"2020";171;"Europe"
"Czechia";"czechia";"25.3";"2019";172;"Europe"
"Armenia";"armenia";"25.2";"2020";173;"Middle East"
"Slovenia";"slovenia";"24.4";"2019";174;"Europe"
"Belarus";"belarus";"24.4";"2020";175;"Europe"
"Slovakia";"slovakia";"23.2";"2019";176;"Europe"
"Faroe Islands";"faroe-islands";"22.7";"2013";177;"Europe"
"Jersey";"jersey";"0.3";"2014";178;"Europe"
