time,population
0,1191119990
5,855597305
10,1984086146
15,1325169013
20,1194393073
25,1689871351
30,1970035614
35,1674546027
40,2692935293
45,2525656839
50,2432149318
55,2625396607
60,2492717217
65,3127629327
70,3207760707
75,3642527819
80,2873739962
85,3939384657
90,4568683569
95,4666089529
100,5578227053
105,4963564814
110,6010246196
115,6000321870
120,5770841581
125,5530889772
130,6616997462
135,6851649690
140,7530355697
145,7754330467
150,7660491227
155,7870474870
160,8158909650
165,8473280099
170,9180796090
175,8566215460
180,8764454471
185,9506294811
190,9355170503
195,9740924567
200,9446254364
205,9984841817
210,10130932297
215,10020001679
220,10385145932
225,11101300682
230,10574654161
235,10824867448
240,10945716318
245,10903824151
250,11397540741
255,11417903394
260,11070762868
265,11335725231
270,11115704050
275,10973473521
280,11997149368
285,11319785664
290,11416705742
295,11624501056
300,11888825104
