temperture (K) - Plot 0	voltage (V) - Plot 0
3.92E+01	8.35E-05
3.83E+01	8.35E-05
3.76E+01	8.30E-05
3.69E+01	8.25E-05
3.62E+01	8.18E-05
3.57E+01	8.19E-05
3.51E+01	8.16E-05
3.46E+01	8.14E-05
3.41E+01	8.09E-05
3.36E+01	8.08E-05
3.32E+01	8.12E-05
3.27E+01	8.09E-05
3.23E+01	8.06E-05
3.19E+01	8.02E-05
3.15E+01	8.04E-05
3.12E+01	8.04E-05
3.09E+01	8.00E-05
3.06E+01	8.01E-05
3.04E+01	7.97E-05
3.01E+01	7.97E-05
2.99E+01	8.01E-05
2.96E+01	7.97E-05
2.94E+01	7.95E-05
2.93E+01	7.95E-05
2.91E+01	7.98E-05
2.89E+01	7.96E-05
2.88E+01	7.96E-05
2.87E+01	7.96E-05
2.85E+01	7.97E-05
2.84E+01	7.94E-05
2.83E+01	7.92E-05
2.82E+01	7.96E-05
2.81E+01	7.88E-05
2.80E+01	7.93E-05
2.79E+01	7.94E-05
2.78E+01	7.89E-05
2.78E+01	7.92E-05
2.77E+01	7.90E-05
2.76E+01	7.89E-05
2.76E+01	7.91E-05
2.75E+01	7.92E-05
2.74E+01	7.91E-05
2.74E+01	7.92E-05
2.73E+01	7.88E-05
2.73E+01	7.93E-05
2.72E+01	7.92E-05
2.72E+01	7.92E-05
2.71E+01	7.91E-05
2.71E+01	7.91E-05
2.70E+01	7.90E-05
2.70E+01	7.86E-05
2.69E+01	7.86E-05
2.69E+01	7.87E-05
2.69E+01	7.87E-05
2.68E+01	7.86E-05
2.68E+01	7.86E-05
2.68E+01	7.87E-05
2.67E+01	7.87E-05
2.67E+01	7.86E-05
2.66E+01	7.83E-05
2.66E+01	7.85E-05
2.66E+01	7.84E-05
2.65E+01	7.85E-05
2.65E+01	7.84E-05
2.65E+01	7.83E-05
2.64E+01	7.85E-05
2.64E+01	7.84E-05
2.64E+01	7.85E-05
2.63E+01	7.86E-05
2.61E+01	7.85E-05
2.59E+01	7.83E-05
2.58E+01	7.84E-05
2.57E+01	7.85E-05
2.55E+01	7.84E-05
2.55E+01	7.84E-05
2.53E+01	7.86E-05
2.52E+01	7.87E-05
2.51E+01	7.89E-05
2.51E+01	7.87E-05
2.50E+01	7.83E-05
2.49E+01	7.85E-05
2.49E+01	7.84E-05
2.48E+01	7.84E-05
2.47E+01	7.88E-05
2.47E+01	7.83E-05
2.46E+01	7.87E-05
2.46E+01	7.88E-05
2.45E+01	7.86E-05
2.45E+01	7.87E-05
2.45E+01	7.83E-05
2.44E+01	7.86E-05
2.44E+01	7.87E-05
2.43E+01	7.84E-05
2.43E+01	7.85E-05
2.43E+01	7.86E-05
2.42E+01	7.85E-05
2.42E+01	7.88E-05
2.42E+01	7.87E-05
2.41E+01	7.84E-05
2.41E+01	7.83E-05
2.41E+01	7.81E-05
2.41E+01	7.76E-05
2.40E+01	7.82E-05
2.40E+01	7.81E-05
2.40E+01	7.82E-05
2.40E+01	7.82E-05
2.39E+01	7.88E-05
2.39E+01	7.87E-05
2.39E+01	7.87E-05
2.39E+01	7.80E-05
2.38E+01	7.84E-05
2.38E+01	7.82E-05
2.34E+01	7.84E-05
2.26E+01	7.85E-05
2.14E+01	7.82E-05
2.06E+01	7.78E-05
1.98E+01	7.79E-05
1.91E+01	7.77E-05
1.86E+01	7.81E-05
1.80E+01	7.75E-05
1.76E+01	7.79E-05
1.72E+01	7.77E-05
1.69E+01	7.80E-05
1.67E+01	7.78E-05
1.65E+01	7.73E-05
1.63E+01	7.80E-05
1.62E+01	7.78E-05
1.61E+01	7.79E-05
1.60E+01	7.77E-05
1.59E+01	7.76E-05
1.59E+01	7.78E-05
1.58E+01	7.78E-05
1.58E+01	7.79E-05
1.58E+01	7.79E-05
1.57E+01	7.78E-05
1.57E+01	7.77E-05
1.57E+01	7.73E-05
1.56E+01	7.74E-05
1.56E+01	7.78E-05
1.56E+01	7.73E-05
1.55E+01	7.76E-05
1.55E+01	7.80E-05
1.55E+01	7.77E-05
1.55E+01	7.76E-05
1.54E+01	7.77E-05
1.54E+01	7.74E-05
1.54E+01	7.76E-05
1.54E+01	7.74E-05
1.53E+01	7.75E-05
1.53E+01	7.77E-05
1.53E+01	7.74E-05
1.53E+01	7.76E-05
1.52E+01	7.76E-05
1.52E+01	7.78E-05
1.52E+01	7.76E-05
1.52E+01	7.71E-05
1.52E+01	7.73E-05
1.51E+01	7.75E-05
1.51E+01	7.76E-05
1.51E+01	7.73E-05
1.51E+01	7.77E-05
1.50E+01	7.77E-05
1.50E+01	7.78E-05
1.50E+01	7.73E-05
1.50E+01	7.74E-05
1.50E+01	7.75E-05
1.49E+01	7.74E-05
1.49E+01	7.76E-05
1.49E+01	7.73E-05
1.49E+01	7.76E-05
1.49E+01	7.73E-05
1.48E+01	7.76E-05
1.48E+01	7.78E-05
1.48E+01	7.76E-05
1.47E+01	7.74E-05
1.45E+01	7.78E-05
1.39E+01	7.72E-05
1.36E+01	7.76E-05
1.34E+01	7.73E-05
1.32E+01	7.78E-05
1.31E+01	7.78E-05
1.30E+01	7.71E-05
1.29E+01	7.77E-05
1.28E+01	7.71E-05
1.27E+01	7.78E-05
1.27E+01	7.75E-05
1.27E+01	7.75E-05
1.27E+01	7.78E-05
1.27E+01	7.74E-05
1.26E+01	7.75E-05
1.26E+01	7.73E-05
1.26E+01	7.75E-05
1.26E+01	7.70E-05
1.25E+01	7.72E-05
1.25E+01	7.74E-05
1.25E+01	7.70E-05
1.25E+01	7.72E-05
1.24E+01	7.69E-05
1.21E+01	7.73E-05
1.10E+01	7.72E-05
1.03E+01	7.76E-05
1.00E+01	7.75E-05
9.78E+00	7.75E-05
9.62E+00	7.77E-05
9.48E+00	7.76E-05
9.39E+00	7.73E-05
9.35E+00	7.73E-05
9.31E+00	7.73E-05
9.25E+00	7.75E-05
9.21E+00	7.74E-05
9.21E+00	7.73E-05
9.20E+00	7.76E-05
9.18E+00	7.73E-05
