Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,MCS Internal
High Voltage:,650
Conversion Gain:,1024
Coarse Gain:,2
Fine Gain:,1.48
Upper Discriminator:,1088
Lower Discriminator:,17
Calibration Coefficients:Elapsed Real Time:,0.0
Elapsed Live Time:,0.0
Start Time:,April 01, 2025, 07:07:02
End Time:,April 01, 2025, 07:13:51
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,351
1,,362
2,,318
3,,376
4,,325
5,,360
6,,345
7,,358
8,,327
9,,352
10,,352
11,,332
12,,344
13,,345
14,,338
15,,357
16,,362
17,,345
18,,375
19,,351
20,,345
21,,331
22,,329
23,,351
24,,360
25,,349
26,,350
27,,365
28,,344
29,,345
30,,336
31,,338
32,,351
33,,367
34,,343
35,,387
36,,345
37,,322
38,,334
39,,355
40,,361
41,,369
42,,357
43,,363
44,,340
45,,342
46,,333
47,,337
48,,356
49,,378
50,,339
51,,346
52,,362
53,,365
54,,322
55,,344
56,,351
57,,357
58,,334
59,,347
60,,329
61,,330
62,,352
63,,327
64,,349
65,,329
66,,328
67,,346
68,,342
69,,353
70,,376
71,,309
72,,369
73,,356
74,,342
75,,369
76,,374
77,,365
78,,355
79,,336
80,,344
81,,342
82,,354
83,,360
84,,365
85,,332
86,,338
87,,334
88,,355
89,,356
90,,366
91,,338
92,,346
93,,374
94,,346
95,,347
96,,363
97,,374
98,,334
99,,361
100,,368
101,,299
102,,393
103,,377
104,,376
105,,351
106,,321
107,,334
108,,349
109,,344
110,,340
111,,368
112,,356
113,,337
114,,326
115,,345
116,,352
117,,379
118,,355
119,,348
120,,345
121,,354
122,,356
123,,356
124,,362
125,,366
126,,347
127,,303
128,,330
129,,363
130,,365
131,,334
132,,345
133,,337
134,,346
135,,359
136,,336
137,,354
138,,332
139,,324
140,,376
141,,334
142,,353
143,,344
144,,327
145,,358
146,,354
147,,338
148,,333
149,,381
150,,332
151,,384
152,,337
153,,348
154,,357
155,,311
156,,350
157,,343
158,,355
159,,297
160,,341
161,,388
162,,358
163,,266
164,,344
165,,362
166,,363
167,,325
168,,379
169,,344
170,,351
171,,351
172,,343
173,,352
174,,357
175,,338
176,,329
177,,333
178,,342
179,,325
180,,341
181,,374
182,,361
183,,350
184,,328
185,,356
186,,353
187,,355
188,,373
189,,325
190,,335
191,,351
192,,321
193,,313
194,,368
195,,326
196,,375
197,,353
198,,324
199,,348
200,,332
201,,350
202,,348
203,,340
204,,372
205,,371
206,,340
207,,373
208,,353
209,,352
210,,344
211,,361
212,,360
213,,365
214,,352
215,,348
216,,348
217,,349
218,,334
219,,339
220,,374
221,,330
222,,348
223,,393
224,,339
225,,343
226,,330
227,,359
228,,359
229,,290
230,,379
231,,362
232,,328
233,,336
234,,358
235,,353
236,,376
237,,365
238,,339
239,,322
240,,407
241,,365
242,,343
243,,363
244,,343
245,,353
246,,343
247,,362
248,,376
249,,363
250,,358
251,,330
252,,335
253,,381
254,,323
255,,361
256,,339
257,,354
258,,333
259,,336
260,,330
261,,345
262,,349
263,,355
264,,339
265,,332
266,,335
267,,381
268,,332
269,,337
270,,339
271,,353
272,,336
273,,326
274,,365
275,,358
276,,350
277,,340
278,,350
279,,339
280,,345
281,,351
282,,363
283,,377
284,,346
285,,347
286,,369
287,,342
288,,342
289,,374
290,,336
291,,343
292,,353
293,,346
294,,335
295,,329
296,,316
297,,326
298,,354
299,,338
300,,347
301,,336
302,,340
303,,361
304,,398
305,,361
306,,328
307,,347
308,,349
309,,333
310,,367
311,,354
312,,330
313,,339
314,,356
315,,339
316,,372
317,,349
318,,353
319,,332
320,,322
321,,335
322,,356
323,,345
324,,337
325,,343
326,,341
327,,333
328,,366
329,,374
330,,334
331,,363
332,,382
333,,314
334,,330
335,,344
336,,336
337,,359
338,,351
339,,351
340,,336
341,,368
342,,335
343,,311
344,,372
345,,360
346,,344
347,,346
348,,346
349,,339
350,,358
351,,354
352,,358
353,,365
354,,349
355,,315
356,,314
357,,367
358,,345
359,,316
360,,351
361,,355
362,,375
363,,334
364,,344
365,,350
366,,345
367,,347
368,,363
369,,360
370,,345
371,,355
372,,380
373,,329
374,,360
375,,342
376,,352
377,,345
378,,359
379,,351
380,,335
381,,346
382,,345
383,,374
384,,356
385,,351
386,,361
387,,346
388,,345
389,,364
390,,395
391,,324
392,,346
393,,355
394,,366
395,,331
396,,351
397,,321
398,,336
399,,349
400,,311
401,,377
402,,318
403,,305
404,,325
405,,329
406,,343
407,,344
408,,342
409,,332
410,,343
411,,359
412,,350
413,,338
414,,346
415,,349
416,,342
417,,380
418,,346
419,,331
420,,319
421,,359
422,,344
423,,353
424,,347
425,,354
426,,351
427,,359
428,,364
429,,330
430,,332
431,,335
432,,361
433,,387
434,,356
435,,318
436,,345
437,,315
438,,364
439,,368
440,,331
441,,347
442,,358
443,,355
444,,319
445,,362
446,,374
447,,347
448,,343
449,,330
450,,363
451,,347
452,,336
453,,332
454,,368
455,,348
456,,338
457,,324
458,,338
459,,345
460,,355
461,,352
462,,341
463,,335
464,,350
465,,304
466,,390
467,,343
468,,373
469,,347
470,,368
471,,353
472,,317
473,,345
474,,361
475,,368
476,,344
477,,368
478,,318
479,,339
480,,348
481,,338
482,,351
483,,341
484,,342
485,,335
486,,342
487,,331
488,,353
489,,346
490,,348
491,,333
492,,336
493,,350
494,,339
495,,332
496,,369
497,,377
498,,326
499,,357
500,,359
501,,339
502,,317
503,,357
504,,324
505,,320
506,,335
507,,345
508,,381
509,,338
510,,367
511,,352
512,,349
513,,353
514,,302
515,,346
516,,358
517,,338
518,,326
519,,359
520,,333
521,,340
522,,357
523,,341
524,,372
525,,339
526,,309
527,,348
528,,359
529,,357
530,,329
531,,396
532,,364
533,,369
534,,337
535,,350
536,,351
537,,343
538,,344
539,,355
540,,330
541,,330
542,,334
543,,377
544,,355
545,,349
546,,336
547,,344
548,,340
549,,328
550,,336
551,,347
552,,339
553,,345
554,,329
555,,322
556,,372
557,,335
558,,288
559,,332
560,,355
561,,391
562,,379
563,,359
564,,341
565,,383
566,,361
567,,353
568,,350
569,,340
570,,373
571,,326
572,,380
573,,331
574,,344
575,,336
576,,335
577,,336
578,,312
579,,332
580,,375
581,,361
582,,336
583,,331
584,,324
585,,353
586,,375
587,,328
588,,382
589,,360
590,,358
591,,376
592,,367
593,,348
594,,361
595,,343
596,,349
597,,376
598,,309
599,,367
600,,330
601,,356
602,,342
603,,338
604,,348
605,,380
606,,325
607,,322
608,,345
609,,333
610,,350
611,,333
612,,379
613,,353
614,,357
615,,371
616,,330
617,,350
618,,334
619,,325
620,,344
621,,372
622,,359
623,,347
624,,338
625,,315
626,,361
627,,372
628,,356
629,,341
630,,341
631,,342
632,,344
633,,328
634,,334
635,,366
636,,348
637,,332
638,,352
639,,376
640,,342
641,,333
642,,329
643,,326
644,,325
645,,333
646,,354
647,,353
648,,366
649,,343
650,,354
651,,318
652,,343
653,,372
654,,345
655,,350
656,,359
657,,343
658,,366
659,,342
660,,342
661,,328
662,,364
663,,367
664,,320
665,,331
666,,375
667,,393
668,,342
669,,353
670,,330
671,,369
672,,326
673,,336
674,,339
675,,324
676,,346
677,,398
678,,353
679,,339
680,,337
681,,350
682,,324
683,,348
684,,388
