Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,MCS Internal
High Voltage:,650
Conversion Gain:,1024
Coarse Gain:,2
Fine Gain:,1.46
Upper Discriminator:,1088
Lower Discriminator:,17
Calibration Coefficients:Elapsed Real Time:,0.0
Elapsed Live Time:,0.0
Start Time:,April 01, 2025, 06:48:19
End Time:,April 01, 2025, 06:55:09
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,12
1,,13
2,,13
3,,10
4,,11
5,,8
6,,7
7,,17
8,,6
9,,15
10,,12
11,,12
12,,8
13,,13
14,,8
15,,10
16,,7
17,,7
18,,15
19,,9
20,,19
21,,12
22,,7
23,,10
24,,9
25,,11
26,,10
27,,15
28,,6
29,,12
30,,14
31,,12
32,,11
33,,9
34,,11
35,,9
36,,7
37,,12
38,,4
39,,18
40,,10
41,,4
42,,17
43,,6
44,,9
45,,7
46,,9
47,,9
48,,14
49,,10
50,,12
51,,10
52,,11
53,,10
54,,13
55,,11
56,,10
57,,12
58,,10
59,,5
60,,14
61,,13
62,,13
63,,12
64,,10
65,,9
66,,5
67,,11
68,,10
69,,16
70,,9
71,,7
72,,17
73,,9
74,,7
75,,8
76,,15
77,,10
78,,8
79,,10
80,,10
81,,12
82,,10
83,,10
84,,17
85,,9
86,,15
87,,9
88,,11
89,,5
90,,11
91,,14
92,,9
93,,12
94,,13
95,,9
96,,13
97,,8
98,,18
99,,17
100,,9
101,,9
102,,6
103,,9
104,,12
105,,18
106,,18
107,,6
108,,9
109,,10
110,,10
111,,8
112,,6
113,,10
114,,8
115,,14
116,,12
117,,7
118,,18
119,,8
120,,12
121,,13
122,,11
123,,11
124,,8
125,,12
126,,13
127,,10
128,,14
129,,13
130,,8
131,,11
132,,10
133,,17
134,,7
135,,10
136,,8
137,,9
138,,6
139,,9
140,,13
141,,13
142,,11
143,,8
144,,9
145,,13
146,,14
147,,16
148,,10
149,,10
150,,13
151,,14
152,,14
153,,12
154,,13
155,,14
156,,9
157,,18
158,,9
159,,12
160,,9
161,,13
162,,11
163,,8
164,,12
165,,14
166,,9
167,,14
168,,11
169,,9
170,,3
171,,14
172,,13
173,,13
174,,10
175,,10
176,,17
177,,16
178,,13
179,,11
180,,15
181,,11
182,,7
183,,14
184,,9
185,,13
186,,10
187,,9
188,,10
189,,15
190,,13
191,,9
192,,14
193,,9
194,,16
195,,4
196,,7
197,,11
198,,11
199,,7
200,,8
201,,11
202,,12
203,,13
204,,9
205,,9
206,,7
207,,11
208,,14
209,,6
210,,16
211,,7
212,,11
213,,15
214,,7
215,,12
216,,8
217,,10
218,,12
219,,14
220,,8
221,,10
222,,10
223,,10
224,,13
225,,14
226,,12
227,,11
228,,9
229,,11
230,,9
231,,13
232,,7
233,,10
234,,14
235,,10
236,,11
237,,9
238,,12
239,,6
240,,11
241,,12
242,,7
243,,12
244,,10
245,,8
246,,12
247,,11
248,,17
249,,11
250,,14
251,,10
252,,9
253,,9
254,,11
255,,5
256,,7
257,,12
258,,9
259,,12
260,,13
261,,10
262,,13
263,,13
264,,10
265,,11
266,,8
267,,12
268,,12
269,,8
