Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,MCS Internal
High Voltage:,650
Conversion Gain:,1024
Coarse Gain:,2
Fine Gain:,1.48
Upper Discriminator:,1088
Lower Discriminator:,17
Calibration Coefficients:Elapsed Real Time:,0.0
Elapsed Live Time:,0.0
Start Time:,April 01, 2025, 07:21:25
End Time:,April 01, 2025, 07:28:15
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,3830
1,,3745
2,,3751
3,,3670
4,,3692
5,,3683
6,,3630
7,,3656
8,,3699
9,,3751
10,,3719
11,,3702
12,,3680
13,,3846
14,,3656
15,,3743
16,,3718
17,,3735
18,,3672
19,,3769
20,,3681
21,,3773
22,,3801
23,,3746
24,,3752
25,,3659
26,,3808
27,,3725
28,,3614
29,,3664
30,,3605
31,,3773
32,,3655
33,,3860
34,,3732
35,,3733
36,,3666
37,,3783
38,,3784
39,,3673
40,,3761
41,,3778
42,,3796
43,,3712
44,,3704
45,,3738
46,,3665
47,,3565
48,,3761
49,,3708
50,,3662
51,,3627
52,,3758
53,,3742
54,,3680
55,,3732
56,,3754
57,,3723
58,,3723
59,,3628
60,,3707
61,,3734
62,,3720
63,,3786
64,,3725
65,,3822
66,,3677
67,,3826
68,,3680
69,,3690
70,,3660
71,,3791
72,,3751
73,,3710
74,,3709
75,,3688
76,,3755
77,,3790
78,,3753
79,,3766
80,,3726
81,,3806
82,,3680
83,,3763
84,,3721
85,,3780
86,,3717
87,,3761
88,,3750
89,,3600
90,,3761
91,,3684
92,,3668
93,,3669
94,,3675
95,,3786
96,,3740
97,,3734
98,,3782
99,,3699
100,,3707
101,,3740
102,,3707
103,,3659
104,,3785
105,,3735
106,,3757
107,,3744
108,,3697
109,,3744
110,,3723
111,,3708
112,,3692
113,,3744
114,,3715
115,,3724
116,,3717
117,,3731
118,,3788
119,,3747
120,,3730
121,,3791
122,,3844
123,,3681
124,,3718
125,,3797
126,,3756
127,,3794
128,,3736
129,,3706
130,,3772
131,,3665
132,,3674
133,,3795
134,,3680
135,,3580
136,,3703
137,,3642
138,,3760
139,,3790
140,,3840
141,,3689
142,,3666
143,,3663
144,,3667
145,,3688
146,,3773
147,,3742
148,,3741
149,,3689
150,,3659
151,,3670
152,,3694
153,,3600
154,,3677
155,,3728
156,,3693
157,,3787
158,,3690
159,,3805
160,,3687
161,,3730
162,,3666
163,,3793
164,,3754
165,,3731
166,,3699
167,,3765
168,,3688
169,,3729
170,,3718
171,,3740
172,,3801
173,,3799
174,,3793
175,,3637
176,,3798
177,,3756
178,,3547
179,,3607
180,,3757
181,,3662
182,,3772
183,,3641
184,,3689
185,,3742
186,,3675
187,,3738
188,,3783
189,,3693
190,,3761
191,,3827
192,,3625
193,,3776
194,,3731
195,,3857
196,,3712
197,,3657
198,,3713
199,,3713
200,,3664
201,,3694
202,,3573
203,,3689
204,,3738
205,,3639
206,,3823
207,,3875
