Year,Engine HP,Engine Cylinders,Number of Doors,highway MPG,city mpg,Popularity,MSRP
2011,335,6,2,26,19,3916,46135
2011,300,6,2,28,19,3916,40650
2011,300,6,2,28,20,3916,36350
2011,230,6,2,28,18,3916,29450
2011,230,6,2,28,18,3916,34500
2012,230,6,2,28,18,3916,31200
2012,300,6,2,26,17,3916,44100
2012,300,6,2,28,20,3916,39300
2012,230,6,2,28,18,3916,36900
2013,230,6,2,27,18,3916,37200
2013,300,6,2,28,20,3916,39600
2013,230,6,2,28,19,3916,31500
2013,300,6,2,28,19,3916,44400
2013,230,6,2,28,19,3916,37200
2013,230,6,2,28,19,3916,31500
2013,320,6,2,25,18,3916,48250
2013,320,6,2,28,20,3916,43550
1992,172,6,4,24,17,3105,2000
1992,172,6,4,24,17,3105,2000
1992,172,6,4,20,16,3105,2000
1992,172,6,4,24,17,3105,2000
1992,172,6,4,21,16,3105,2000
1993,172,6,4,24,17,3105,2000
1993,172,6,4,20,16,3105,2000
1993,172,6,4,24,17,3105,2000
1993,172,6,4,24,17,3105,2000
1993,172,6,4,21,16,3105,2000
1994,172,6,4,21,16,3105,2000
1994,172,6,4,22,16,3105,2000
1994,172,6,4,22,17,3105,2000
1994,172,6,4,22,16,3105,2000
1994,172,6,4,21,16,3105,2000
2017,160,4,2,35,26,819,27495
2017,160,4,2,35,26,819,24995
2017,160,4,2,35,26,819,28195
1991,130,4,4,26,18,617,2000
1991,158,6,4,25,17,617,2000
1992,158,6,4,25,17,617,2000
1992,130,4,4,26,18,617,2000
1993,130,4,4,26,18,617,2000
1993,158,6,4,25,17,617,2000
2016,240,4,2,35,23,3916,32850
2016,240,4,2,34,23,3916,38650
2016,320,6,2,31,20,3916,48750
2016,240,4,2,35,23,3916,34850
2016,240,4,2,34,22,3916,40650
2016,320,6,2,31,20,3916,44150
2016,240,4,2,34,22,3916,32850
2016,320,6,2,30,20,3916,46150
2016,320,6,2,30,20,3916,50750
2017,335,6,2,31,21,3916,46450
2017,335,6,2,32,21,3916,49050
2017,335,6,2,32,21,3916,51050
2017,335,6,2,32,21,3916,44450
2017,248,4,2,34,23,3916,38950
2017,248,4,2,35,24,3916,33150
2017,248,4,2,33,24,3916,35150
2017,248,4,2,33,23,3916,40950
1990,162,5,4,20,16,3105,2000
1990,162,5,4,22,15,3105,2000
1990,162,5,4,23,15,3105,2000
1991,217,5,4,22,16,3105,2000
1991,217,5,4,22,16,3105,2000
1991,162,5,4,20,16,3105,2000
2015,184,4,4,36,23,1013,25170
2015,184,4,4,36,23,1013,23950
2015,295,6,4,29,18,1013,29370
2015,184,4,4,36,23,1013,21995
2015,184,4,4,36,23,1013,26625
2015,295,6,4,29,18,1013,30825
2016,184,4,4,36,23,1013,21995
2016,184,4,4,36,23,1013,27795
2016,295,6,4,29,18,1013,31785
2016,295,6,4,29,18,1013,29905
2016,184,4,4,36,23,1013,22490
2016,184,4,4,36,23,1013,27570
2016,184,4,4,36,23,1013,25690
2016,184,4,4,36,23,1013,24490
2017,295,6,4,28,18,1013,29905
2017,295,6,4,28,18,1013,31785
2017,184,4,4,36,23,1013,26685
2017,184,4,4,36,23,1013,22490
2017,184,4,4,36,23,1013,25690
2017,295,6,4,28,18,1013,30900
2017,184,4,4,36,23,1013,27795
2017,184,4,4,36,23,1013,21995
2017,184,4,4,36,23,1013,24490
1996,115,4,2,36,26,2009,2000
1996,115,4,2,36,26,2009,2000
1996,140,4,2,29,21,2009,2000
1997,140,4,2,29,21,2009,2000
1997,115,4,2,35,25,2009,2000
1997,115,4,2,35,25,2009,2000
1998,115,4,2,35,25,2009,2000
1998,115,4,2,35,25,2009,2000
1998,140,4,2,28,20,2009,2073
1996,155,4,2,26,19,2009,3713
1996,155,4,2,26,19,2009,3520
1997,155,4,2,26,19,2009,3910
1997,155,4,2,26,19,2009,4182
1997,155,4,2,26,19,2009,4107
1998,155,4,2,25,20,2009,4299
1998,155,4,2,25,20,2009,4693
1998,155,4,2,25,20,2009,4107
1991,114,4,4,26,19,870,2000
1991,114,4,4,23,18,870,2000
1991,114,4,4,26,19,870,2000
1992,114,4,4,26,19,870,2000
1992,114,4,4,26,19,870,2000
1992,114,4,4,26,19,870,2000
1993,114,4,4,26,19,870,2000
1993,114,4,4,25,18,870,2000
2012,100,4,4,35,29,586,16020
2012,100,4,4,35,29,586,14530
2012,100,4,4,34,28,586,16860
2012,100,4,4,34,28,586,15370
2013,100,4,4,34,28,586,17050
2013,100,4,4,34,28,586,15560
2013,100,4,4,35,29,586,16210
2013,100,4,4,35,29,586,14720
2014,100,4,4,34,28,586,17050
2014,100,4,4,34,28,586,15560
2014,100,4,4,35,29,586,16210
2014,100,4,4,35,29,586,14720
2015,300,6,4,30,20,3916,47250
2015,240,4,4,33,22,3916,41850
2015,240,4,4,33,22,3916,41850
2016,240,4,4,34,22,3916,43000
2016,300,6,4,30,20,3916,49200
2017,320,6,4,30,20,3916,49650
2017,248,4,4,33,23,3916,43950
2015,241,4,4,33,22,3916,41950
2015,335,6,4,33,25,3916,50150
2015,240,4,4,35,23,3916,37500
2015,300,6,4,32,21,3916,43750
2015,180,4,4,45,32,3916,39000
2015,240,4,4,33,22,3916,39500
2015,240,4,4,33,22,3916,39500
2015,180,4,4,35,23,3916,34950
2015,300,6,4,30,20,3916,45750
2015,180,4,4,43,31,3916,43450
2015,240,4,4,35,23,3916,37500
2015,180,4,4,43,31,3916,41000
2015,180,4,4,36,24,3916,32950
2016,180,4,4,40,30,3916,41850
2016,320,6,4,33,22,3916,47800
2016,180,4,4,42,32,3916,39850
2016,240,4,4,34,22,3916,38350
2016,240,4,4,34,22,3916,40350
2016,240,4,4,34,22,3916,38350
2016,240,4,4,34,22,3916,42650
2016,180,4,4,36,24,3916,33150
2016,180,4,4,35,23,3916,35150
2016,180,4,4,40,30,3916,44150
2016,320,6,4,33,22,3916,45800
2017,248,4,4,34,23,3916,38750
2017,180,4,4,34,23,3916,35450
2017,180,4,4,35,23,3916,33450
2017,248,4,4,33,23,3916,40750
2017,180,4,4,40,30,3916,42250
2017,248,4,4,33,23,3916,42950
2017,180,4,4,42,32,3916,40250
2017,320,6,4,31,21,3916,49900
2017,320,6,4,32,21,3916,47900
2017,180,4,4,40,30,3916,44450
1991,177,6,4,19,15,617,2232
1991,177,6,4,20,15,617,2000
1991,158,6,4,22,17,617,2000
1991,177,6,4,20,15,617,2105
1991,177,6,4,18,15,617,2199
1991,177,6,4,22,16,617,2000
1991,177,6,4,19,15,617,2124
1991,228,6,2,21,14,617,3552
1991,217,6,2,22,15,617,2179
1991,121,5,4,30,23,617,2000
1992,121,5,4,29,23,617,2000
1992,228,6,4,17,14,617,2377
1992,228,6,2,21,15,617,3814
1992,177,6,4,19,15,617,2207
1992,177,6,4,20,15,617,2000
1992,217,6,2,21,15,617,2248
1992,177,6,4,22,16,617,2065
1992,148,6,4,22,18,617,2547
1992,177,6,4,18,15,617,2282
1992,158,6,4,23,18,617,2000
1993,177,6,4,19,15,617,2544
1993,217,6,2,22,17,617,2397
1993,121,5,4,30,23,617,2000
1993,228,6,2,21,14,617,4174
1993,217,6,4,22,17,617,2187
1993,148,6,4,22,18,617,2729
1993,177,6,4,19,15,617,2433
1993,194,6,4,23,17,617,2247
1993,228,6,4,18,14,617,2540
1997,218,6,2,23,17,436,3941
1997,161,6,2,22,17,436,3295
1997,320,6,2,22,16,436,6008
1998,320,6,2,22,16,436,6710
1998,161,6,2,22,17,436,3701
1998,218,6,2,23,17,436,4671
1999,218,6,2,23,17,436,5306
1999,320,6,2,22,16,436,7600
1999,161,6,2,22,17,436,4090
2015,300,6,4,27,18,1013,37570
2015,292,6,4,31,19,1013,31695
2015,292,6,4,31,19,1013,38070
2015,292,6,4,27,18,1013,44895
2015,300,6,4,31,19,1013,35070
2015,292,6,4,31,19,1013,42395
2015,292,6,4,27,18,1013,34195
2015,292,6,4,27,18,1013,40570
2016,300,6,4,27,18,1013,38095
2016,300,6,4,31,19,1013,35595
2016,292,6,4,27,18,1013,45190
2016,292,6,4,31,19,1013,32260
2016,292,6,4,27,18,1013,37755
2016,292,6,4,27,18,1013,41055
2016,300,6,4,31,19,1013,36090
2016,292,6,4,31,19,1013,42690
2016,292,6,4,31,19,1013,38555
2016,292,6,4,31,19,1013,35255
2016,300,6,4,27,18,1013,38590
2016,292,6,4,27,18,1013,34760
2017,292,6,4,27,18,1013,41135
2017,292,6,4,27,18,1013,45270
2017,300,6,4,27,18,1013,38670
2017,292,6,4,30,19,1013,38635
2017,300,6,4,30,19,1013,36170
2017,300,6,4,27,18,1013,38175
2017,292,6,4,30,19,1013,32340
2017,292,6,4,30,19,1013,42770
2017,292,6,4,27,18,1013,34840
2017,300,6,4,30,19,1013,35675
2002,250,6,4,24,16,1013,32065
2002,250,6,4,24,16,1013,28540
2003,255,6,4,25,16,1013,32315
2003,250,6,4,25,16,1013,28885
2004,250,6,4,25,16,1013,29185
2004,255,6,4,25,16,1013,32615
1994,222,6,2,22,16,2009,2847
1994,222,6,2,22,16,2009,2488
1994,300,6,2,22,16,2009,2683
1994,222,6,2,22,16,2009,2553
1995,300,6,2,22,16,2009,3049
1995,222,6,2,22,17,2009,2774
1995,222,6,2,22,17,2009,2702
1995,222,6,2,22,17,2009,3101
1996,300,6,2,22,16,2009,3510
1996,222,6,2,22,17,2009,3107
1996,222,6,2,22,17,2009,3624
1996,222,6,2,22,17,2009,3185
1992,82,4,2,33,25,586,2000
1992,82,4,2,33,25,586,2000
1993,82,4,2,33,25,586,2000
1993,82,4,2,32,24,586,2000
1994,82,4,2,33,25,586,2000
1990,134,6,4,23,19,617,2144
1990,134,6,4,23,19,617,2098
1991,134,6,4,23,19,617,2178
1991,134,6,4,23,19,617,2311
2007,306,6,2,23,17,2009,36550
2007,306,6,2,23,17,2009,41250
2007,306,6,2,24,17,2009,30600
2007,306,6,2,24,17,2009,37100
2007,306,6,2,25,18,2009,27900
2007,306,6,2,25,18,2009,32700
2007,306,6,2,24,17,2009,40250
2007,306,6,2,24,17,2009,35550
2007,306,6,2,25,18,2009,36100
2007,306,6,2,24,17,2009,33200
2007,306,6,2,24,17,2009,37900
2007,306,6,2,25,18,2009,29600
2007,306,6,2,25,18,2009,38070
2007,306,6,2,23,17,2009,38900
2008,306,6,2,24,17,2009,33840
2008,306,6,2,24,17,2009,38630
2008,306,6,2,23,17,2009,39630
2008,306,6,2,24,17,2009,37740
2008,306,6,2,23,17,2009,41980
2008,306,6,2,24,17,2009,36280
2008,306,6,2,25,18,2009,36740
2008,306,6,2,24,17,2009,40980
2008,306,6,2,25,18,2009,38680
2008,306,6,2,25,18,2009,28510
2008,306,6,2,25,18,2009,30210
2008,306,6,2,24,17,2009,31210
2008,306,6,2,25,18,2009,33340
2008,306,6,2,23,17,2009,37280
2009,306,6,2,24,17,2009,41570
2009,306,6,2,24,17,2009,36870
2009,306,6,2,23,17,2009,42570
2009,306,6,2,23,17,2009,37870
2009,306,6,2,24,17,2009,39220
2009,306,6,2,23,17,2009,40220
2002,400,8,2,15,10,2774,160829
2002,400,8,2,15,10,2774,140615
2002,400,8,2,15,10,2774,150694
2002,400,8,2,15,10,2774,170829
2003,400,8,2,15,10,2774,165986
2003,400,8,2,15,10,2774,154090
2003,400,8,2,15,10,2774,143860
2003,400,8,2,15,10,2774,176287
2004,400,8,2,15,10,2774,157767
2004,425,8,2,15,10,2774,187124
2004,400,8,2,15,10,2774,147332
2004,400,8,2,15,10,2774,169900
2004,400,8,2,15,10,2774,180408
2015,350,6,2,26,19,2009,46790
2015,332,6,2,24,17,2009,48100
2015,332,6,2,26,18,2009,29990
2015,332,6,2,25,18,2009,41820
2015,332,6,2,26,19,2009,31290
2015,332,6,2,26,19,2009,34870
2015,332,6,2,26,18,2009,33570
2015,332,6,2,25,18,2009,46570
2015,332,6,2,26,18,2009,37970
2015,332,6,2,26,18,2009,37070
2015,332,6,2,25,18,2009,49400
2015,332,6,2,24,17,2009,45270
2015,332,6,2,26,19,2009,39270
2015,350,6,2,26,18,2009,45490
2015,350,6,2,26,18,2009,41990
2015,332,6,2,26,19,2009,38370
2015,350,6,2,26,19,2009,43290
2016,332,6,2,25,18,2009,41820
2016,332,6,2,24,17,2009,48100
2016,350,6,2,26,19,2009,43290
2016,332,6,2,26,19,2009,39270
2016,332,6,2,26,19,2009,34870
2016,350,6,2,26,18,2009,41990
2016,332,6,2,26,19,2009,38370
2016,332,6,2,24,17,2009,45270
2016,350,6,2,26,18,2009,45490
2016,332,6,2,26,18,2009,29990
2016,332,6,2,25,18,2009,46570
2016,350,6,2,26,19,2009,46790
2016,332,6,2,25,18,2009,49400
2016,332,6,2,26,18,2009,37070
2016,332,6,2,26,19,2009,31290
2016,332,6,2,26,18,2009,37970
2016,332,6,2,26,18,2009,33570
2017,332,6,2,26,18,2009,37970
2017,332,6,2,26,19,2009,38370
2017,332,6,2,26,19,2009,34870
2017,332,6,2,26,18,2009,29990
2017,350,6,2,26,18,2009,45490
2017,350,6,2,26,18,2009,41990
2017,332,6,2,24,17,2009,45270
2017,332,6,2,26,18,2009,33570
2017,332,6,2,24,17,2009,48100
2017,332,6,2,26,19,2009,39270
2017,332,6,2,25,18,2009,46570
2017,332,6,2,25,18,2009,49400
2017,332,6,2,26,18,2009,37070
2017,332,6,2,25,18,2009,41820
2017,350,6,2,26,19,2009,46790
2017,350,6,2,26,19,2009,43290
