year,population
1900,2423000
1901,2450000
1902,2477000
1903,2505000
1904,2534000
1905,2579000
1906,2626000
1907,2693000
1908,2722000
1909,2771000
1910,2832000
1911,2916000
1912,2997000
1913,3101000
1914,3183000
1915,3263000
1916,3353000
1917,3451000
1918,3499000
1919,3591000
1920,3723000
1921,3872000
1922,3942000
1923,4063000
1924,4214000
1925,4331000
1926,4451000
1927,4589000
1928,4665000
1929,4795000
1930,4834000
1931,4798000
1932,4780000
1933,4780000
1934,4798000
1935,4838000
1936,4889000
1937,4968000
1938,5056000
1939,5156000
1940,5315000
1941,5472000
1942,5549000
1943,5405000
1944,5467000
1945,5475000
1946,5874000
1947,6076000
1948,6213000
1949,6332000
1950,6407000
1951,6497000
1952,6650000
1953,6822000
1954,7066000
1955,7285000
1956,7467000
1957,7569000
1958,7667000
1959,7767000
1960,7834000
1961,7893000
1962,7933000
1963,8058000
1964,8187000
1965,8357000
1966,8512000
1967,8630000
1968,8696000
1969,8781000
1970,8881826
1971,8974186
1972,9028944
1973,9077956
1974,9117507
1975,9117668
1976,9129205
1977,9171110
1978,9217761
1979,9266268
1980,9255553
1981,9209287
1982,9115198
1983,9047754
1984,9049452
1985,9076293
1986,9127775
1987,9187481
1988,9217998
1989,9253295
1990,9310462
1991,9395022
1992,9470323
1993,9529240
1994,9584481
1995,9659871
1996,9739184
1997,9785450
1998,9820231
1999,9863775
2000,9952450
2001,9991120
2002,10015710
2003,10041152
2004,10055315
2005,10051137
2006,10036081
2007,10001284
2008,9946889
2009,9901591
2010,9877597
2011,9883053
2012,9898289
2013,9914802
2014,9932033
2015,9934483
2016,9954117
2017,9976752
2018,9987286
2019,9984795
2020,9966555
